,age,height,weight,season_exp,min_game,catch_shoot_freq,avg_speed_def,avg_speed_off,d_ppm_overall,d_ppm_paint,d_ppm_perim,attempt_at_rim_2_min,attempt_cut_run_2_min,attempt_drive_2_min,attempt_jumper_2_min,attempt_jumper_3_min,attempt_off_dribble_2_min,attempt_off_dribble_3_min,attempt_post_2_min,eff_at_rim_2,eff_cut_run_2,eff_drive_2,eff_jumper_2,eff_jumper_3,eff_off_dribble_2,eff_off_dribble_3,eff_post_2,ast_min,blk_min,blk_a_min,dreb_min,oreb_min,fta_min,stl_min,tov_min,eff_ft,ast_tov,c_dreb_min,c_oreb_min,d_fga_paint_min,d_fga_perim_min,d_fga_overall_min,d_eff_paint,d_eff_perim,d_eff_overall,mi_def_min,mi_off_min,pass_min
age,1.000,-0.008,0.026,0.886,0.054,0.124,-0.319,-0.268,-0.015,0.015,-0.002,-0.161,-0.154,-0.128,0.056,0.038,-0.106,-0.001,0.048,0.070,-0.040,0.039,0.214,-0.001,0.048,0.088,-0.039,0.108,-0.050,-0.232,-0.014,-0.089,-0.125,-0.087,-0.077,0.198,0.234,-0.064,-0.086,-0.075,-0.133,-0.132,0.003,0.002,0.000,-0.337,-0.250,0.059
height,-0.008,1.000,0.955,0.116,0.261,0.008,-0.181,-0.054,-0.044,-0.024,-0.140,0.116,-0.061,-0.053,0.092,-0.066,-0.086,-0.050,0.147,0.116,0.084,0.055,0.229,0.005,0.061,0.018,0.034,-0.058,0.183,0.032,0.208,0.169,0.063,-0.054,-0.028,0.020,0.011,0.184,0.224,0.105,-0.138,-0.007,-0.040,-0.117,0.017,-0.110,-0.094,-0.029
weight,0.026,0.955,1.000,0.147,0.228,-0.029,-0.244,-0.184,-0.075,-0.120,-0.135,0.259,-0.044,-0.153,0.133,-0.188,-0.218,-0.135,0.297,0.226,0.114,0.088,0.238,-0.060,0.055,-0.004,0.053,-0.166,0.296,0.066,0.361,0.317,0.115,-0.113,-0.058,-0.046,-0.097,0.329,0.377,0.218,-0.189,0.061,-0.135,-0.104,0.040,-0.181,-0.210,-0.085
season_exp,0.886,0.116,0.147,1.000,0.243,0.077,-0.428,-0.304,-0.034,0.002,-0.011,-0.131,-0.143,-0.044,0.172,0.025,-0.055,0.016,0.089,0.072,-0.010,0.086,0.270,-0.004,0.049,0.114,-0.005,0.143,-0.040,-0.202,0.050,-0.097,-0.025,-0.068,-0.036,0.159,0.242,-0.025,-0.060,-0.082,-0.160,-0.161,-0.007,0.004,-0.004,-0.393,-0.313,0.077
min_game,0.054,0.261,0.228,0.243,1.000,-0.098,-0.320,-0.130,-0.082,0.029,0.008,-0.056,0.007,0.316,0.273,0.110,0.209,0.211,0.049,-0.083,0.003,0.115,0.220,0.200,0.111,0.121,0.112,0.315,-0.063,0.029,0.003,-0.124,0.247,0.044,0.090,0.138,0.235,-0.065,-0.092,-0.279,-0.235,-0.384,0.042,0.042,-0.064,-0.239,-0.203,0.126
catch_shoot_freq,0.124,0.008,-0.029,0.077,-0.098,1.000,0.031,0.077,0.049,0.056,0.047,-0.493,-0.226,-0.274,0.024,0.657,-0.153,0.040,-0.280,-0.055,-0.074,-0.156,0.176,0.335,-0.078,0.126,-0.029,-0.246,-0.283,-0.395,-0.203,-0.393,-0.437,-0.121,-0.297,0.251,0.043,-0.167,-0.384,-0.131,0.059,-0.089,0.062,0.024,-0.016,0.007,0.103,-0.215
avg_speed_def,-0.319,-0.181,-0.244,-0.428,-0.320,0.031,1.000,0.418,0.132,0.124,-0.077,-0.069,0.119,-0.066,-0.309,0.039,0.023,-0.117,-0.231,-0.047,-0.010,-0.104,-0.249,-0.052,-0.077,0.085,-0.130,-0.154,-0.161,-0.073,-0.251,-0.070,-0.342,0.153,-0.144,-0.101,-0.097,-0.269,-0.122,-0.079,0.169,0.032,0.139,-0.106,0.051,0.753,0.536,-0.130
avg_speed_off,-0.268,-0.054,-0.184,-0.304,-0.130,0.077,0.418,1.000,-0.011,0.175,-0.052,-0.247,-0.014,0.161,-0.219,0.196,0.267,0.156,-0.418,-0.190,-0.008,-0.061,-0.157,0.065,-0.068,0.171,-0.074,0.225,-0.224,-0.043,-0.305,-0.261,-0.159,0.148,0.080,-0.007,0.183,-0.300,-0.239,-0.136,0.190,0.010,0.178,-0.078,-0.109,0.552,0.815,0.253
d_ppm_overall,-0.015,-0.044,-0.075,-0.034,-0.082,0.049,0.132,-0.011,1.000,0.504,0.542,-0.089,0.052,0.070,-0.026,0.116,-0.003,-0.122,-0.083,-0.155,-0.024,-0.129,-0.074,0.029,0.180,0.078,-0.113,0.076,-0.168,0.021,-0.083,-0.092,0.015,0.038,0.082,0.032,0.024,-0.053,-0.105,0.018,-0.056,-0.020,0.527,0.578,0.951,-0.009,0.078,0.018
d_ppm_paint,0.015,-0.024,-0.120,0.002,0.029,0.056,0.124,0.175,0.504,1.000,0.007,-0.316,0.037,0.233,-0.038,0.290,0.299,0.221,-0.283,-0.309,-0.085,-0.066,0.003,0.076,0.046,0.063,-0.042,0.278,-0.385,-0.053,-0.380,-0.344,-0.052,0.184,0.209,0.222,0.281,-0.358,-0.366,-0.305,0.069,-0.222,0.991,-0.009,0.396,0.115,0.186,0.134
d_ppm_perim,-0.002,-0.140,-0.135,-0.011,0.008,0.047,-0.077,-0.052,0.542,0.007,1.000,0.069,0.026,0.097,0.020,0.016,-0.084,-0.161,0.034,0.024,0.014,-0.122,-0.029,0.021,0.008,0.134,-0.143,-0.007,-0.016,0.026,0.083,0.071,0.111,-0.052,0.039,-0.131,-0.044,0.057,0.054,-0.054,-0.064,-0.088,-0.006,0.988,0.538,-0.083,-0.031,0.000
attempt_at_rim_2_min,-0.161,0.116,0.259,-0.131,-0.056,-0.493,-0.069,-0.247,-0.089,-0.316,0.069,1.000,0.189,-0.130,0.053,-0.598,-0.402,-0.315,0.472,0.388,0.189,0.125,-0.106,-0.377,0.078,-0.096,0.074,-0.329,0.583,0.447,0.599,0.816,0.372,-0.226,-0.013,-0.417,-0.428,0.620,0.809,0.453,-0.270,0.209,-0.326,0.111,0.107,-0.048,-0.266,-0.121
