player_id,age,display_name,dleague_flag,first_name,height,last_name,position,roster_status,season_exp,team_id,team_name,weight,attempt_2,attempt_3,attempt_at_rim_2,attempt_cut_run_2,attempt_drive_2,attempt_jumper_2,attempt_jumper_3,attempt_off_dribble_2,attempt_off_dribble_3,attempt_post_2,made_2,made_3,made_at_rim_2,made_cut_run_2,made_drive_2,made_jumper_2,made_jumper_3,made_off_dribble_2,made_off_dribble_3,made_post_2,total_attempt,total_made,catch_shoot_freq,ast,blk,blk_a,dreb,fta,ftm,gp,min_game,oreb,pf,pfd,reb,stl,tov,c_dreb_game,c_oreb_game,avg_speed_def,avg_speed_off,avg_speed_tot,mi_game_def,mi_game_off,mi_game_tot,d_fga_mid,d_fga_overall,d_fga_paint,d_fga_perim,d_fga_threes,d_fgm_mid,d_fgm_overall,d_fgm_paint,d_fgm_perim,d_fgm_threes,pass_total
708,14792,Kevin Garnett,N,Kevin,83,Garnett,Forward,Active,21,1610612750,Timberwolves,240,114.0,1.0,14.0,2.0,2.0,73.0,1.0,5.0,0.0,18.0,54.0,0.0,8.0,2.0,2.0,35.0,0.0,1.0,0.0,6.0,115.0,54.0,0.487,1.6,0.3,0.1,3.6,0.6,0.4,38.0,14.6,0.4,1.8,0.7,3.9,0.7,0.4,0.71,0.21,3.68,4.67,4.16,0.47,0.55,1.02,0.84,5.11,2.32,1.95,1.0,0.3,2.14,1.41,0.43,0.19,1001.3
977,13966,Kobe Bryant,N,Kobe,78,Bryant,Forward-Guard,Active,19,1610612747,Lakers,212,646.0,467.0,45.0,13.0,61.0,316.0,427.0,93.0,40.0,118.0,265.0,133.0,22.0,10.0,41.0,86.0,113.0,59.0,20.0,47.0,1113.0,398.0,0.262,2.8,0.2,0.5,3.1,4.3,3.5,66.0,28.2,0.6,1.7,2.6,3.7,0.9,2.0,0.23,0.24,3.72,4.18,3.96,0.84,1.02,1.86,1.18,7.35,1.56,4.61,3.14,0.4,3.27,1.08,1.79,1.08,1586.64
1495,14816,Tim Duncan,N,Tim,83,Duncan,Center-Forward,Active,19,1610612759,Spurs,250,439.0,2.0,121.0,15.0,19.0,191.0,2.0,17.0,0.0,76.0,215.0,0.0,84.0,11.0,10.0,62.0,0.0,11.0,0.0,37.0,441.0,215.0,0.181,2.7,1.3,0.6,5.4,2.1,1.5,61.0,25.2,1.9,2.0,1.8,7.3,0.8,1.5,1.6,1.34,3.61,3.93,3.78,0.72,0.86,1.59,3.22,11.12,4.92,2.98,0.72,1.17,4.9,2.63,1.1,0.25,2079.49
1713,14540,Vince Carter,N,Vince,78,Carter,Guard-Forward,Active,18,1610612763,Grizzlies,220,174.0,169.0,44.0,9.0,30.0,61.0,158.0,19.0,11.0,11.0,74.0,59.0,22.0,6.0,14.0,19.0,55.0,9.0,4.0,4.0,343.0,133.0,0.458,0.9,0.3,0.2,1.9,1.4,1.2,60.0,16.8,0.5,1.7,1.3,2.4,0.6,0.6,0.39,0.35,3.64,4.3,3.98,0.51,0.61,1.11,0.73,5.66,1.17,3.76,2.78,0.26,2.58,0.85,1.47,1.03,1154.4
1717,14031,Dirk Nowitzki,N,Dirk,84,Nowitzki,Forward,Active,18,1610612742,Mavericks,245,770.0,342.0,42.0,13.0,36.0,477.0,339.0,25.0,3.0,177.0,372.0,126.0,25.0,12.0,28.0,212.0,124.0,8.0,2.0,87.0,1112.0,498.0,0.521,1.8,0.7,0.2,5.8,3.7,3.3,75.0,31.5,0.7,2.1,4.0,6.5,0.7,1.1,1.24,0.4,3.44,3.9,3.68,0.88,1.05,1.93,2.5,13.37,5.11,5.76,3.31,1.08,6.32,3.0,2.24,1.12,2814.75
1718,14280,Paul Pierce,N,Paul,79,Pierce,Forward,Active,18,1610612746,Clippers,235,155.0,239.0,12.0,1.0,21.0,82.0,238.0,11.0,1.0,28.0,69.0,74.0,2.0,0.0,13.0,32.0,74.0,7.0,0.0,15.0,394.0,143.0,0.599,1.0,0.3,0.3,2.6,1.0,0.8,68.0,18.1,0.2,1.9,0.9,2.7,0.5,0.9,0.77,0.06,3.45,3.9,3.68,0.52,0.59,1.11,1.46,6.79,2.18,3.15,1.84,0.6,3.04,1.28,1.16,0.63,1298.12
1737,14318,Nazr Mohammed,N,Nazr,82,Mohammed,Center,Active,18,1610612760,Thunder,250,5.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,3.0,0.2,0.0,0.0,0.0,0.6,0.4,0.4,5.0,3.9,0.2,0.8,0.2,0.8,0.0,0.6,0.2,0.2,3.76,4.22,3.68,0.11,0.14,0.25,0.0,1.75,1.25,0.5,0.25,0.0,0.75,0.75,0.0,0.0,19.0
1882,13766,Elton Brand,N,Elton,81,Brand,Forward,Active,17,1610612755,76ers,254,71.0,1.0,9.0,2.0,2.0,52.0,1.0,4.0,0.0,2.0,31.0,0.0,6.0,2.0,2.0,18.0,0.0,2.0,0.0,1.0,72.0,31.0,0.0,1.1,0.5,0.1,3.2,0.5,0.5,17.0,13.2,0.5,1.9,1.0,3.7,0.5,0.6,0.0,0.0,3.71,4.29,4.0,0.4,0.48,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1889,14853,Andre Miller,N,Andre,75,Miller,Guard,Active,17,1610612759,Spurs,200,98.0,8.0,23.0,11.0,20.0,23.0,8.0,13.0,0.0,8.0,57.0,2.0,12.0,10.0,10.0,11.0,2.0,9.0,0.0,5.0,106.0,59.0,0.047,2.2,0.0,0.3,1.0,0.8,0.6,39.0,11.8,0.3,1.2,0.7,1.3,0.4,0.9,0.18,0.23,3.52,4.2,3.86,0.34,0.42,0.76,0.54,4.63,0.69,3.4,2.69,0.29,2.0,0.51,1.2,0.91,865.41
1891,14308,Jason Terry,N,Jason,74,Terry,Guard,Active,17,1610612749,Bucks,185,115.0,259.0,5.0,3.0,36.0,37.0,244.0,32.0,15.0,2.0,58.0,93.0,2.0,3.0,22.0,14.0,82.0,17.0,11.0,0.0,374.0,151.0,0.651,1.4,0.1,0.1,0.9,0.5,0.4,72.0,17.5,0.2,1.3,0.4,1.1,0.7,0.7,0.13,0.09,3.91,4.66,4.26,0.6,0.65,1.25,1.2,5.61,1.13,3.28,2.28,0.46,2.8,0.93,1.41,0.99,1508.04
