,player_id,display_name,cluster
0,708,Kevin Garnett,1
1,951,Ray Allen,2
2,959,Steve Nash,3
3,965,Derek Fisher,2
4,977,Kobe Bryant,3
5,979,Jermaine O'Neal,1
6,1495,Tim Duncan,1
7,1497,Chauncey Billups,3
9,1712,Antawn Jamison,2
10,1713,Vince Carter,3
11,1717,Dirk Nowitzki,1
12,1718,Paul Pierce,2
13,1733,Al Harrington,2
14,1737,Nazr Mohammed,1
15,1740,Rashard Lewis,2
16,1882,Elton Brand,1
18,1889,Andre Miller,3
19,1890,Shawn Marion,2
20,1891,Jason Terry,2
21,1897,Metta World Peace,2
22,1905,Andrei Kirilenko,2
23,1938,Manu Ginobili,3
24,2030,Kenyon Martin,1
25,2034,Mike Miller,2
26,2037,Jamal Crawford,3
27,2045,Hedo Turkoglu,2
28,2199,Tyson Chandler,1
29,2200,Pau Gasol,1
30,2202,Jason Richardson,2
31,2203,Shane Battier,2
32,2207,Joe Johnson,3
33,2210,Richard Jefferson,2
35,2216,Zach Randolph,1
37,2222,Gerald Wallace,2
38,2223,Samuel Dalembert,1
40,2225,Tony Parker,3
43,2365,Chris Andersen,1
44,2399,Mike Dunleavy,2
45,2400,Drew Gooden,1
46,2403,Nene,1
47,2405,Amar'e Stoudemire,1
48,2406,Caron Butler,2
50,2419,Tayshaun Prince,2
51,2422,John Salmons,2
52,2427,Roger Mason Jr.,2
53,2430,Carlos Boozer,1
54,2440,Matt Barnes,3
55,2446,Rasual Butler,2
56,2449,Luis Scola,1
57,2457,Jannero Pargo,3
58,2501,Reggie Evans,1
59,2544,LeBron James,3
60,2546,Carmelo Anthony,3
61,2547,Chris Bosh,1
62,2548,Dwyane Wade,3
63,2549,Chris Kaman,1
64,2550,Kirk Hinrich,3
65,2555,Nick Collison,1
66,2557,Luke Ridnour,3
67,2561,David West,1
69,2564,Boris Diaw,1
70,2566,Travis Outlaw,2
72,2570,Kendrick Perkins,1
73,2571,Leandro Barbosa,2
74,2581,Steve Blake,3
75,2584,Willie Green,2
76,2585,Zaza Pachulia,1
78,2588,Matt Bonner,2
79,2590,Mo Williams,3
80,2592,James Jones,2
81,2594,Kyle Korver,2
82,2617,Udonis Haslem,1
84,2730,Dwight Howard,1
86,2732,Ben Gordon,3
87,2733,Shaun Livingston,3
88,2734,Devin Harris,3
90,2736,Luol Deng,2
91,2738,Andre Iguodala,2
93,2742,Sebastian Telfair,3
94,2743,Kris Humphries,1
95,2744,Al Jefferson,1
96,2746,Josh Smith,1
97,2747,JR Smith,2
98,2748,Dorell Wright,2
99,2749,Jameer Nelson,3
100,2754,Tony Allen,3
101,2755,Kevin Martin,3
102,2756,Sasha Vujacic,2
103,2757,Beno Udrih,3
104,2760,Anderson Varejao,1
106,2772,Trevor Ariza,3
108,101106,Andrew Bogut,1
109,101107,Marvin Williams,2
110,101108,Chris Paul,3
111,101109,Raymond Felton,3
112,101110,Martell Webster,2
113,101111,Charlie Villanueva,2
114,101112,Channing Frye,2
115,101114,Deron Williams,3
116,101115,Andrew Bynum,1
117,101122,Danny Granger,2
118,101123,Gerald Green,3
119,101126,Nate Robinson,3
120,101127,Jarrett Jack,3
121,101128,Francisco Garcia,2
122,101131,Jason Maxiell,1
123,101133,Ian Mahinmi,1
124,101135,David Lee,1
125,101138,Brandon Bass,1
126,101139,CJ Miles,2
127,101141,Ersan Ilyasova,1
128,101142,Ronny Turiaf,1
129,101145,Monta Ellis,3
130,101150,Lou Williams,3
131,101154,Andray Blatche,1
133,101161,Amir Johnson,1
134,101162,Marcin Gortat,1
135,101179,Ronnie Price,3
136,101181,Jose Calderon,3
137,101183,Shavlik Randolph,1
138,101187,Alan Anderson,2
139,101198,Will Bynum,3
140,101236,Charles Hayes,1
141,101249,John Lucas III,2
142,200745,Andrea Bargnani,1
143,200746,LaMarcus Aldridge,1
145,200751,Randy Foye,3
146,200752,Rudy Gay,3
147,200755,JJ Redick,2
149,200757,Thabo Sefolosha,3
151,200761,Shawne Williams,2
152,200765,Rajon Rondo,3
153,200768,Kyle Lowry,3
154,200769,Shannon Brown,3
155,200770,Jordan Farmar,3
156,200771,Sergio Rodriguez,3
157,200777,Joel Freeland,1
158,200779,Steve Novak,2
160,200782,PJ Tucker,3
161,200794,Paul Millsap,1
162,200797,Ryan Hollins,1
163,200811,Lou Amundson,1
164,200826,Jose Juan Barea,3
165,200839,Michael Harris,2
166,201141,Greg Oden,1
167,201142,Kevin Durant,3
168,201143,Al Horford,1
169,201144,Mike Conley,3
170,201145,Jeff Green,3
171,201147,Corey Brewer,2
172,201148,Brandan Wright,1
173,201149,Joakim Noah,1
174,201150,Spencer Hawes,1
175,201152,Thaddeus Young,1
176,201155,Rodney Stuckey,3
177,201156,Nick Young,2
178,201158,Marco Belinelli,2
179,201160,Jason Smith,1
180,201162,Jared Dudley,2
181,201163,Wilson Chandler,3
182,201166,Aaron Brooks,3
183,201167,Arron Afflalo,3
184,201168,Tiago Splitter,1
185,201171,Carl Landry,1
186,201175,Glen Davis,1
187,201177,Josh McRoberts,2
188,201188,Marc Gasol,1
189,201189,Aaron Gray,1
190,201196,Ramon Sessions,3
191,201202,Joel Anthony,1
193,201228,CJ Watson,3
194,201229,Anthony Tolliver,2
195,201563,Michael Beasley,3
196,201564,O.J. Mayo,2
197,201565,Derrick Rose,3
198,201566,Russell Westbrook,3
199,201567,Kevin Love,1
200,201568,Danilo Gallinari,2
201,201569,Eric Gordon,3
202,201571,D.J. Augustin,3
203,201572,Brook Lopez,1
204,201573,Jerryd Bayless,3
205,201574,Jason Thompson,1
206,201575,Brandon Rush,2
207,201576,Anthony Randolph,2
208,201577,Robin Lopez,1
209,201578,Marreese Speights,1
210,201579,Roy Hibbert,1
211,201580,JaVale McGee,1
212,201581,JJ Hickson,1
213,201582,Alexis Ajinca,1
214,201583,Ryan Anderson,1
215,201584,Courtney Lee,2
216,201585,Kosta Koufos,1
217,201586,Serge Ibaka,1
218,201587,Nicolas Batum,3
219,201588,George Hill,3
220,201589,Darrell Arthur,1
222,201593,Nikola Pekovic,1
223,201595,Joey Dorsey,1
224,201596,Mario Chalmers,3
225,201599,DeAndre Jordan,1
226,201600,Omer Asik,1
227,201601,Luc Mbah a Moute,2
228,201603,Sonny Weems,2
229,201604,Chris Douglas-Roberts,2
230,201609,Goran Dragic,3
231,201611,Henry Walker,2
233,201627,Anthony Morrow,2
236,201858,Cartier Martin,2
237,201880,Greg Stiemsma,1
238,201933,Blake Griffin,1
240,201935,James Harden,3
241,201936,Tyreke Evans,3
242,201937,Ricky Rubio,3
243,201939,Stephen Curry,3
244,201941,Jordan Hill,1
245,201942,DeMar DeRozan,3
246,201943,Brandon Jennings,3
247,201945,Gerald Henderson,3
248,201946,Tyler Hansbrough,1
249,201947,Earl Clark,2
250,201948,Austin Daye,2
251,201949,James Johnson,3
252,201950,Jrue Holiday,3
253,201951,Ty Lawson,3
254,201952,Jeff Teague,3
255,201953,Eric Maynor,3
256,201954,Darren Collison,3
257,201956,Omri Casspi,2
258,201957,Byron Mullens,2
259,201959,Taj Gibson,1
260,201960,DeMarre Carroll,3
261,201961,Wayne Ellington,2
262,201962,Toney Douglas,3
263,201964,Victor Claver,2
264,201965,Jeff Ayres,1
265,201967,Dante Cunningham,2
266,201971,DeJuan Blair,1
267,201973,Jonas Jerebko,2
268,201975,Jodie Meeks,2
269,201976,Patrick Beverley,3
270,201977,Marcus Thornton,2
271,201978,Chase Budinger,2
272,201979,Nick Calathes,3
273,201980,Danny Green,2
274,201985,A.J. Price,3
275,201986,Nando De Colo,2
276,201988,Patty Mills,3
278,202066,Garrett Temple,2
280,202083,Wesley Matthews,2
281,202087,Alonzo Gee,3
285,202322,John Wall,3
286,202323,Evan Turner,3
287,202324,Derrick Favors,1
288,202325,Wesley Johnson,2
289,202326,DeMarcus Cousins,1
290,202327,Ekpe Udoh,1
291,202328,Greg Monroe,1
292,202329,Al-Farouq Aminu,1
293,202330,Gordon Hayward,3
294,202331,Paul George,3
295,202332,Cole Aldrich,1
296,202333,Xavier Henry,3
297,202334,Ed Davis,1
298,202335,Patrick Patterson,2
299,202336,Larry Sanders,1
300,202337,Luke Babbitt,2
301,202338,Kevin Seraphin,1
302,202339,Eric Bledsoe,3
303,202340,Avery Bradley,2
304,202341,James Anderson,2
305,202343,Elliot Williams,2
306,202344,Trevor Booker,1
308,202347,Quincy Pondexter,2
309,202348,Jordan Crawford,3
310,202349,Greivis Vasquez,3
311,202350,Daniel Orton,1
314,202355,Hassan Whiteside,1
315,202357,Nemanja Bjelica,2
316,202361,Landry Fields,2
317,202362,Lance Stephenson,3
318,202363,Jarvis Varnado,1
319,202366,Jerome Jordan,1
320,202379,Jeremy Evans,1
322,202388,Donald Sloan,3
323,202389,Timofey Mozgov,1
324,202390,Gary Neal,3
325,202391,Jeremy Lin,3
326,202397,Ish Smith,3
327,202399,Jeff Adrien,1
328,202407,Elijah Millsap,3
330,202498,Lance Thomas,2
332,202681,Kyrie Irving,3
333,202682,Derrick Williams,3
