,player_id,display_name,cluster
0,708,Kevin Garnett,2
1,951,Ray Allen,6
3,965,Derek Fisher,6
4,977,Kobe Bryant,7
5,979,Jermaine O'Neal,4
6,1495,Tim Duncan,3
10,1713,Vince Carter,1
11,1717,Dirk Nowitzki,2
12,1718,Paul Pierce,5
13,1733,Al Harrington,5
14,1737,Nazr Mohammed,4
15,1740,Rashard Lewis,6
16,1882,Elton Brand,4
18,1889,Andre Miller,8
19,1890,Shawn Marion,5
20,1891,Jason Terry,6
21,1897,Metta World Peace,6
22,1905,Andrei Kirilenko,5
23,1938,Manu Ginobili,10
24,2030,Kenyon Martin,5
25,2034,Mike Miller,6
26,2037,Jamal Crawford,9
27,2045,Hedo Turkoglu,6
28,2199,Tyson Chandler,3
29,2200,Pau Gasol,3
31,2203,Shane Battier,5
32,2207,Joe Johnson,7
33,2210,Richard Jefferson,6
35,2216,Zach Randolph,3
37,2222,Gerald Wallace,6
38,2223,Samuel Dalembert,4
40,2225,Tony Parker,8
43,2365,Chris Andersen,3
44,2399,Mike Dunleavy,6
45,2400,Drew Gooden,2
46,2403,Nene,4
47,2405,Amar'e Stoudemire,3
48,2406,Caron Butler,6
50,2419,Tayshaun Prince,5
51,2422,John Salmons,6
53,2430,Carlos Boozer,4
54,2440,Matt Barnes,6
55,2446,Rasual Butler,6
56,2449,Luis Scola,2
58,2501,Reggie Evans,4
59,2544,LeBron James,7
60,2546,Carmelo Anthony,7
61,2547,Chris Bosh,4
62,2548,Dwyane Wade,7
63,2549,Chris Kaman,3
64,2550,Kirk Hinrich,10
65,2555,Nick Collison,4
66,2557,Luke Ridnour,9
67,2561,David West,2
69,2564,Boris Diaw,4
70,2566,Travis Outlaw,6
72,2570,Kendrick Perkins,4
73,2571,Leandro Barbosa,6
74,2581,Steve Blake,10
75,2584,Willie Green,6
76,2585,Zaza Pachulia,3
78,2588,Matt Bonner,5
79,2590,Mo Williams,10
80,2592,James Jones,5
81,2594,Kyle Korver,5
82,2617,Udonis Haslem,2
84,2730,Dwight Howard,3
86,2732,Ben Gordon,9
87,2733,Shaun Livingston,7
88,2734,Devin Harris,9
90,2736,Luol Deng,1
91,2738,Andre Iguodala,6
94,2743,Kris Humphries,2
95,2744,Al Jefferson,3
96,2746,Josh Smith,2
97,2747,JR Smith,6
98,2748,Dorell Wright,5
99,2749,Jameer Nelson,8
100,2754,Tony Allen,6
101,2755,Kevin Martin,6
102,2756,Sasha Vujacic,2
103,2757,Beno Udrih,9
104,2760,Anderson Varejao,3
106,2772,Trevor Ariza,6
108,101106,Andrew Bogut,3
109,101107,Marvin Williams,2
110,101108,Chris Paul,8
111,101109,Raymond Felton,7
112,101110,Martell Webster,6
113,101111,Charlie Villanueva,2
114,101112,Channing Frye,2
115,101114,Deron Williams,7
116,101115,Andrew Bynum,4
117,101122,Danny Granger,6
118,101123,Gerald Green,10
119,101126,Nate Robinson,9
120,101127,Jarrett Jack,7
121,101128,Francisco Garcia,6
122,101131,Jason Maxiell,5
123,101133,Ian Mahinmi,4
124,101135,David Lee,2
125,101138,Brandon Bass,4
126,101139,CJ Miles,6
127,101141,Ersan Ilyasova,2
128,101142,Ronny Turiaf,4
129,101145,Monta Ellis,7
130,101150,Lou Williams,9
131,101154,Andray Blatche,4
133,101161,Amir Johnson,4
134,101162,Marcin Gortat,3
135,101179,Ronnie Price,10
136,101181,Jose Calderon,10
138,101187,Alan Anderson,10
139,101198,Will Bynum,8
140,101236,Charles Hayes,4
141,101249,John Lucas III,10
142,200745,Andrea Bargnani,5
143,200746,LaMarcus Aldridge,2
145,200751,Randy Foye,10
146,200752,Rudy Gay,1
147,200755,JJ Redick,6
149,200757,Thabo Sefolosha,6
151,200761,Shawne Williams,5
152,200765,Rajon Rondo,8
153,200768,Kyle Lowry,7
155,200770,Jordan Farmar,9
157,200777,Joel Freeland,4
158,200779,Steve Novak,5
160,200782,PJ Tucker,1
161,200794,Paul Millsap,2
162,200797,Ryan Hollins,4
163,200811,Lou Amundson,4
164,200826,Jose Juan Barea,8
167,201142,Kevin Durant,1
168,201143,Al Horford,2
169,201144,Mike Conley,7
170,201145,Jeff Green,1
171,201147,Corey Brewer,6
172,201148,Brandan Wright,4
173,201149,Joakim Noah,2
174,201150,Spencer Hawes,2
175,201152,Thaddeus Young,1
176,201155,Rodney Stuckey,7
177,201156,Nick Young,10
178,201158,Marco Belinelli,6
179,201160,Jason Smith,2
180,201162,Jared Dudley,5
181,201163,Wilson Chandler,5
182,201166,Aaron Brooks,8
183,201167,Arron Afflalo,10
184,201168,Tiago Splitter,4
185,201171,Carl Landry,4
186,201175,Glen Davis,5
187,201177,Josh McRoberts,2
188,201188,Marc Gasol,3
190,201196,Ramon Sessions,9
191,201202,Joel Anthony,4
193,201228,CJ Watson,10
194,201229,Anthony Tolliver,5
195,201563,Michael Beasley,1
196,201564,O.J. Mayo,6
197,201565,Derrick Rose,8
198,201566,Russell Westbrook,7
199,201567,Kevin Love,2
200,201568,Danilo Gallinari,10
201,201569,Eric Gordon,10
202,201571,D.J. Augustin,9
203,201572,Brook Lopez,3
204,201573,Jerryd Bayless,10
205,201574,Jason Thompson,4
206,201575,Brandon Rush,5
207,201576,Anthony Randolph,5
208,201577,Robin Lopez,3
209,201578,Marreese Speights,3
210,201579,Roy Hibbert,3
211,201580,JaVale McGee,3
212,201581,JJ Hickson,4
213,201582,Alexis Ajinca,3
214,201583,Ryan Anderson,4
215,201584,Courtney Lee,6
216,201585,Kosta Koufos,3
217,201586,Serge Ibaka,2
218,201587,Nicolas Batum,1
219,201588,George Hill,10
220,201589,Darrell Arthur,2
222,201593,Nikola Pekovic,4
223,201595,Joey Dorsey,4
224,201596,Mario Chalmers,9
225,201599,DeAndre Jordan,3
226,201600,Omer Asik,3
227,201601,Luc Mbah a Moute,5
229,201604,Chris Douglas-Roberts,6
230,201609,Goran Dragic,8
231,201611,Henry Walker,6
233,201627,Anthony Morrow,6
236,201858,Cartier Martin,6
237,201880,Greg Stiemsma,4
238,201933,Blake Griffin,2
240,201935,James Harden,7
241,201936,Tyreke Evans,7
242,201937,Ricky Rubio,7
243,201939,Stephen Curry,8
244,201941,Jordan Hill,3
245,201942,DeMar DeRozan,7
246,201943,Brandon Jennings,8
247,201945,Gerald Henderson,10
248,201946,Tyler Hansbrough,4
249,201947,Earl Clark,5
251,201949,James Johnson,1
252,201950,Jrue Holiday,8
253,201951,Ty Lawson,8
254,201952,Jeff Teague,8
256,201954,Darren Collison,9
257,201956,Omri Casspi,2
259,201959,Taj Gibson,2
260,201960,DeMarre Carroll,6
261,201961,Wayne Ellington,6
262,201962,Toney Douglas,10
264,201965,Jeff Ayres,4
265,201967,Dante Cunningham,5
266,201971,DeJuan Blair,4
267,201973,Jonas Jerebko,2
268,201975,Jodie Meeks,6
269,201976,Patrick Beverley,10
270,201977,Marcus Thornton,10
271,201978,Chase Budinger,6
272,201979,Nick Calathes,10
273,201980,Danny Green,2
276,201988,Patty Mills,10
278,202066,Garrett Temple,6
280,202083,Wesley Matthews,6
281,202087,Alonzo Gee,6
285,202322,John Wall,8
286,202323,Evan Turner,7
287,202324,Derrick Favors,3
288,202325,Wesley Johnson,2
289,202326,DeMarcus Cousins,3
290,202327,Ekpe Udoh,5
291,202328,Greg Monroe,3
292,202329,Al-Farouq Aminu,2
293,202330,Gordon Hayward,1
294,202331,Paul George,1
295,202332,Cole Aldrich,3
296,202333,Xavier Henry,9
297,202334,Ed Davis,3
298,202335,Patrick Patterson,2
299,202336,Larry Sanders,4
300,202337,Luke Babbitt,2
301,202338,Kevin Seraphin,3
302,202339,Eric Bledsoe,8
303,202340,Avery Bradley,6
304,202341,James Anderson,6
305,202343,Elliot Williams,6
306,202344,Trevor Booker,2
308,202347,Quincy Pondexter,6
309,202348,Jordan Crawford,9
310,202349,Greivis Vasquez,10
314,202355,Hassan Whiteside,3
315,202357,Nemanja Bjelica,5
316,202361,Landry Fields,6
317,202362,Lance Stephenson,8
320,202379,Jeremy Evans,2
322,202388,Donald Sloan,8
323,202389,Timofey Mozgov,3
324,202390,Gary Neal,9
325,202391,Jeremy Lin,7
326,202397,Ish Smith,8
327,202399,Jeff Adrien,4
328,202407,Elijah Millsap,10
330,202498,Lance Thomas,5
332,202681,Kyrie Irving,7
333,202682,Derrick Williams,6
334,202683,Enes Kanter,3
335,202684,Tristan Thompson,2
336,202685,Jonas Valanciunas,3
337,202686,Jan Vesely,5
338,202687,Bismack Biyombo,3
339,202688,Brandon Knight,7
340,202689,Kemba Walker,8
341,202690,Jimmer Fredette,9
342,202691,Klay Thompson,5
343,202692,Alec Burks,9
344,202693,Markieff Morris,2
345,202694,Marcus Morris,1
346,202695,Kawhi Leonard,1
347,202696,Nikola Vucevic,3
348,202697,Iman Shumpert,1
350,202699,Tobias Harris,1
351,202700,Donatas Motiejunas,4
352,202702,Kenneth Faried,2
353,202703,Nikola Mirotic,2
354,202704,Reggie Jackson,8
356,202706,Jordan Hamilton,5
357,202708,Norris Cole,9
358,202709,Cory Joseph,8
359,202710,Jimmy Butler,1
360,202711,Bojan Bogdanovic,6
362,202713,Kyle Singler,5
363,202714,Shelvin Mack,9
364,202718,Chandler Parsons,1
366,202720,Jon Leuer,2
367,202721,Darius Morris,9
372,202730,Lavoy Allen,4
374,202734,E'Twaun Moore,10
375,202738,Isaiah Thomas,9
380,202962,Greg Smith,4
382,203076,Anthony Davis,2
383,203077,Michael Kidd-Gilchrist,1
384,203078,Bradley Beal,10
385,203079,Dion Waiters,7
386,203080,Thomas Robinson,3
387,203081,Damian Lillard,8
388,203082,Terrence Ross,6
389,203083,Andre Drummond,3
390,203084,Harrison Barnes,1
391,203085,Austin Rivers,10
392,203086,Meyers Leonard,2
393,203087,Jeremy Lamb,1
394,203088,Kendall Marshall,9
395,203089,John Henson,3
396,203090,Maurice Harkless,6
398,203092,Tyler Zeller,3
399,203093,Terrence Jones,2
400,203094,Andrew Nicholson,2
401,203095,Evan Fournier,10
402,203096,Jared Sullinger,4
403,203098,John Jenkins,6
404,203099,Jared Cunningham,6
405,203100,Tony Wroten,9
406,203101,Miles Plumlee,3
408,203103,Perry Jones,6
410,203105,Festus Ezeli,4
411,203106,Jeff Taylor,6
414,203109,Jae Crowder,6
415,203110,Draymond Green,2
417,203112,Quincy Acy,2
418,203113,Quincy Miller,6
419,203114,Khris Middleton,6
420,203115,Will Barton,1
