,lineup_ids,clusters,lineup_names,points_scored,points_allowed,MIN_TOT,net,net_per_min
1,"101106,101114,200826,202083,203084","2,3,5,7,9","Barea,J.J. - Barnes,Harrison - Bogut,Andrew - Matthews,Wesley - Williams,Deron",66.0,50.0,31.5,16.0,0.507936507937
2,"101106,101114,202083,203084,1626147","2,3,3,5,7","Anderson,Justin - Barnes,Harrison - Bogut,Andrew - Matthews,Wesley - Williams,Deron",32.0,33.2,16.0,-1.2,-0.075
3,"101106,101114,202083,203084,203552","2,3,5,7,8","Barnes,Harrison - Bogut,Andrew - Curry,Seth - Matthews,Wesley - Williams,Deron",34.0,33.0,20.6,1.0,0.0485436893204
6,"101106,101127,101135,201939,202691","2,2,4,6,8","Bogut,Andrew - Curry,Stephen - Jack,Jarrett - Lee,David - Thompson,Klay",17.7,15.9,202.8,1.8,0.00887573964497
7,"101106,101127,101135,201939,203084","2,2,5,6,8","Barnes,Harrison - Bogut,Andrew - Curry,Stephen - Jack,Jarrett - Lee,David",5.5,5.4,26.4,0.1,0.00378787878788
10,"101106,101127,101135,202691,203084","2,2,4,5,8","Barnes,Harrison - Bogut,Andrew - Jack,Jarrett - Lee,David - Thompson,Klay",15.7,13.7,43.2,2.0,0.0462962962963
12,"101106,101127,201171,201939,202691","2,2,4,6,8","Bogut,Andrew - Curry,Stephen - Jack,Jarrett - Landry,Carl - Thompson,Klay",4.7,4.0,15.4,0.7,0.0454545454545
21,"101106,101135,201939,202691,203084","2,2,4,5,6","Barnes,Harrison - Bogut,Andrew - Curry,Stephen - Lee,David - Thompson,Klay",810.4,848.7,798.3,-38.3,-0.0479769510209
22,"101106,101135,201939,202691,203110","2,2,2,4,6","Bogut,Andrew - Curry,Stephen - Green,Draymond - Lee,David - Thompson,Klay",74.7,57.6,27.9,17.1,0.612903225806
24,"101106,101135,201939,203084,203110","2,2,2,5,6","Barnes,Harrison - Bogut,Andrew - Curry,Stephen - Green,Draymond - Lee,David",63.0,57.6,29.7,5.4,0.181818181818
37,"101106,201171,201939,202691,203084","2,2,4,5,6","Barnes,Harrison - Bogut,Andrew - Curry,Stephen - Landry,Carl - Thompson,Klay",11.7,12.0,18.9,-0.3,-0.015873015873
42,"101106,201575,201939,202691,203110","2,2,4,4,6","Bogut,Andrew - Curry,Stephen - Green,Draymond - Rush,Brandon - Thompson,Klay",619.0,546.5,259.0,72.5,0.279922779923
52,"101106,201939,202691,203084,203110","2,2,4,5,6","Barnes,Harrison - Bogut,Andrew - Curry,Stephen - Green,Draymond - Thompson,Klay",3357.0,2858.2,1420.8,498.8,0.35106981982
53,"101106,201939,202691,203110,203546","2,2,3,4,6","Bogut,Andrew - Clark,Ian - Curry,Stephen - Green,Draymond - Thompson,Klay",60.3,62.1,27.0,-1.8,-0.0666666666667
55,"101106,201939,203084,203110,203200","2,2,5,5,6","Barnes,Harrison - Bogut,Andrew - Curry,Stephen - Green,Draymond - Holiday,Justin",94.4,81.6,41.6,12.8,0.307692307692
62,"101107,101131,201945,202362,203148","2,3,6,6,8","Henderson,Gerald - Maxiell,Jason - Roberts,Brian - Stephenson,Lance - Williams,Marvin",59.4,60.3,28.8,-0.9,-0.03125
70,"101107,101131,202362,202390,203077","2,2,3,6,7","Kidd-Gilchrist,Michael - Maxiell,Jason - Neal,Gary - Stephenson,Lance - Williams,Marvin",30.9,33.0,18.3,-2.1,-0.114754098361
71,"101107,101131,202362,202390,203148","2,3,6,6,7","Maxiell,Jason - Neal,Gary - Roberts,Brian - Stephenson,Lance - Williams,Marvin",50.4,50.4,27.0,0.0,0.0
74,"101107,101131,202362,203077,203148","2,2,3,6,6","Kidd-Gilchrist,Michael - Maxiell,Jason - Roberts,Brian - Stephenson,Lance - Williams,Marvin",31.8,39.6,16.2,-7.8,-0.481481481481
83,"101107,101131,202390,203148,203798","2,3,4,6,7","Hairston,PJ - Maxiell,Jason - Neal,Gary - Roberts,Brian - Williams,Marvin",37.0,43.0,23.5,-6.0,-0.255319148936
121,"101107,201150,201587,202391,202689","2,3,8,8,9","Batum,Nicolas - Hawes,Spencer - Lin,Jeremy - Walker,Kemba - Williams,Marvin",47.6,40.6,22.4,7.0,0.3125
125,"101107,201150,201587,202689,203077","2,2,3,8,8","Batum,Nicolas - Hawes,Spencer - Kidd-Gilchrist,Michael - Walker,Kemba - Williams,Marvin",97.2,100.2,52.0,-3.0,-0.0576923076923
130,"101107,201150,201587,202689,203798","2,3,4,8,8","Batum,Nicolas - Hairston,PJ - Hawes,Spencer - Walker,Kemba - Williams,Marvin",36.0,44.1,25.2,-8.1,-0.321428571429
