,player_id,display_name,cluster
0,708,Kevin Garnett,3
5,979,Jermaine O'Neal,1
6,1495,Tim Duncan,2
11,1717,Dirk Nowitzki,3
14,1737,Nazr Mohammed,2
16,1882,Elton Brand,1
24,2030,Kenyon Martin,3
28,2199,Tyson Chandler,2
29,2200,Pau Gasol,2
35,2216,Zach Randolph,2
38,2223,Samuel Dalembert,1
43,2365,Chris Andersen,2
45,2400,Drew Gooden,3
46,2403,Nene,3
47,2405,Amar'e Stoudemire,2
53,2430,Carlos Boozer,3
56,2449,Luis Scola,3
58,2501,Reggie Evans,1
61,2547,Chris Bosh,3
63,2549,Chris Kaman,2
65,2555,Nick Collison,3
67,2561,David West,3
69,2564,Boris Diaw,3
72,2570,Kendrick Perkins,1
76,2585,Zaza Pachulia,2
82,2617,Udonis Haslem,3
84,2730,Dwight Howard,2
94,2743,Kris Humphries,3
95,2744,Al Jefferson,2
96,2746,Josh Smith,3
104,2760,Anderson Varejao,2
108,101106,Andrew Bogut,2
116,101115,Andrew Bynum,1
122,101131,Jason Maxiell,1
123,101133,Ian Mahinmi,1
124,101135,David Lee,3
125,101138,Brandon Bass,3
127,101141,Ersan Ilyasova,3
128,101142,Ronny Turiaf,1
131,101154,Andray Blatche,1
133,101161,Amir Johnson,3
134,101162,Marcin Gortat,2
137,101183,Shavlik Randolph,1
140,101236,Charles Hayes,1
142,200745,Andrea Bargnani,3
143,200746,LaMarcus Aldridge,3
157,200777,Joel Freeland,1
161,200794,Paul Millsap,3
162,200797,Ryan Hollins,1
163,200811,Lou Amundson,1
166,201141,Greg Oden,1
168,201143,Al Horford,3
172,201148,Brandan Wright,1
173,201149,Joakim Noah,3
174,201150,Spencer Hawes,3
175,201152,Thaddeus Young,3
179,201160,Jason Smith,3
184,201168,Tiago Splitter,1
185,201171,Carl Landry,3
186,201175,Glen Davis,1
188,201188,Marc Gasol,2
189,201189,Aaron Gray,1
191,201202,Joel Anthony,1
199,201567,Kevin Love,3
203,201572,Brook Lopez,2
205,201574,Jason Thompson,1
208,201577,Robin Lopez,2
209,201578,Marreese Speights,2
210,201579,Roy Hibbert,2
211,201580,JaVale McGee,2
212,201581,JJ Hickson,3
213,201582,Alexis Ajinca,2
214,201583,Ryan Anderson,3
216,201585,Kosta Koufos,2
217,201586,Serge Ibaka,3
220,201589,Darrell Arthur,3
222,201593,Nikola Pekovic,1
223,201595,Joey Dorsey,1
225,201599,DeAndre Jordan,2
226,201600,Omer Asik,2
237,201880,Greg Stiemsma,1
238,201933,Blake Griffin,3
244,201941,Jordan Hill,2
248,201946,Tyler Hansbrough,1
259,201959,Taj Gibson,3
264,201965,Jeff Ayres,1
266,201971,DeJuan Blair,1
287,202324,Derrick Favors,2
289,202326,DeMarcus Cousins,2
290,202327,Ekpe Udoh,1
291,202328,Greg Monroe,2
292,202329,Al-Farouq Aminu,3
295,202332,Cole Aldrich,2
297,202334,Ed Davis,2
299,202336,Larry Sanders,1
301,202338,Kevin Seraphin,2
306,202344,Trevor Booker,3
