,player_id,display_name,cluster
0,708,Kevin Garnett,2
5,979,Jermaine O'Neal,1
6,1495,Tim Duncan,0
11,1717,Dirk Nowitzki,2
14,1737,Nazr Mohammed,0
16,1882,Elton Brand,1
24,2030,Kenyon Martin,1
28,2199,Tyson Chandler,0
29,2200,Pau Gasol,0
35,2216,Zach Randolph,0
38,2223,Samuel Dalembert,1
43,2365,Chris Andersen,0
45,2400,Drew Gooden,2
46,2403,Nene,2
47,2405,Amar'e Stoudemire,0
53,2430,Carlos Boozer,2
56,2449,Luis Scola,2
58,2501,Reggie Evans,1
61,2547,Chris Bosh,2
63,2549,Chris Kaman,0
65,2555,Nick Collison,2
67,2561,David West,2
69,2564,Boris Diaw,2
72,2570,Kendrick Perkins,2
76,2585,Zaza Pachulia,0
82,2617,Udonis Haslem,2
84,2730,Dwight Howard,0
94,2743,Kris Humphries,2
95,2744,Al Jefferson,0
96,2746,Josh Smith,2
104,2760,Anderson Varejao,0
108,101106,Andrew Bogut,0
116,101115,Andrew Bynum,1
122,101131,Jason Maxiell,1
123,101133,Ian Mahinmi,1
124,101135,David Lee,2
125,101138,Brandon Bass,2
127,101141,Ersan Ilyasova,2
128,101142,Ronny Turiaf,1
131,101154,Andray Blatche,1
133,101161,Amir Johnson,0
134,101162,Marcin Gortat,0
137,101183,Shavlik Randolph,1
140,101236,Charles Hayes,2
142,200745,Andrea Bargnani,1
143,200746,LaMarcus Aldridge,2
157,200777,Joel Freeland,1
161,200794,Paul Millsap,2
162,200797,Ryan Hollins,1
163,200811,Lou Amundson,1
166,201141,Greg Oden,1
168,201143,Al Horford,2
172,201148,Brandan Wright,1
173,201149,Joakim Noah,0
174,201150,Spencer Hawes,2
175,201152,Thaddeus Young,2
179,201160,Jason Smith,2
184,201168,Tiago Splitter,1
185,201171,Carl Landry,2
186,201175,Glen Davis,1
188,201188,Marc Gasol,0
189,201189,Aaron Gray,1
191,201202,Joel Anthony,1
199,201567,Kevin Love,0
203,201572,Brook Lopez,0
205,201574,Jason Thompson,2
208,201577,Robin Lopez,0
209,201578,Marreese Speights,0
210,201579,Roy Hibbert,0
211,201580,JaVale McGee,0
212,201581,JJ Hickson,2
213,201582,Alexis Ajinca,0
214,201583,Ryan Anderson,2
216,201585,Kosta Koufos,0
217,201586,Serge Ibaka,2
220,201589,Darrell Arthur,2
222,201593,Nikola Pekovic,1
223,201595,Joey Dorsey,1
225,201599,DeAndre Jordan,0
226,201600,Omer Asik,0
237,201880,Greg Stiemsma,1
238,201933,Blake Griffin,2
244,201941,Jordan Hill,0
248,201946,Tyler Hansbrough,1
259,201959,Taj Gibson,2
264,201965,Jeff Ayres,1
266,201971,DeJuan Blair,1
287,202324,Derrick Favors,0
289,202326,DeMarcus Cousins,0
290,202327,Ekpe Udoh,1
291,202328,Greg Monroe,0
292,202329,Al-Farouq Aminu,2
295,202332,Cole Aldrich,0
297,202334,Ed Davis,0
299,202336,Larry Sanders,1
301,202338,Kevin Seraphin,0
306,202344,Trevor Booker,2
311,202350,Daniel Orton,1
314,202355,Hassan Whiteside,0
318,202363,Jarvis Varnado,1
319,202366,Jerome Jordan,1
320,202379,Jeremy Evans,2
323,202389,Timofey Mozgov,0
327,202399,Jeff Adrien,1
334,202683,Enes Kanter,0
335,202684,Tristan Thompson,0
336,202685,Jonas Valanciunas,0
337,202686,Jan Vesely,1
338,202687,Bismack Biyombo,0
344,202693,Markieff Morris,2
347,202696,Nikola Vucevic,0
350,202699,Tobias Harris,2
351,202700,Donatas Motiejunas,2
352,202702,Kenneth Faried,0
365,202719,Jeremy Tyler,1
366,202720,Jon Leuer,2
370,202725,Josh Harrellson,1
372,202730,Lavoy Allen,2
379,202952,Malcolm Thomas,1
380,202962,Greg Smith,1
381,202970,Gustavo Ayon,1
382,203076,Anthony Davis,2
383,203077,Michael Kidd-Gilchrist,2
386,203080,Thomas Robinson,0
389,203083,Andre Drummond,0
395,203089,John Henson,0
398,203092,Tyler Zeller,0
399,203093,Terrence Jones,2
400,203094,Andrew Nicholson,2
402,203096,Jared Sullinger,0
406,203101,Miles Plumlee,0
410,203105,Festus Ezeli,1
413,203108,Bernard James,1
415,203110,Draymond Green,2
424,203120,Justin Hamilton,1
427,203124,Kyle O'Quinn,0
428,203128,Furkan Aldemir,1
432,203135,Robert Sacre,1
444,203156,Henry Sims,1
446,203186,Willie Reed,1
450,203210,JaMychal Green,2
455,203382,Aron Baynes,0
456,203457,Nerlens Noel,1
457,203458,Alex Len,0
460,203461,Anthony Bennett,2
465,203469,Cody Zeller,2
467,203473,Dewayne Dedmon,0
470,203476,Gorgui Dieng,0
474,203481,Jeff Withey,0
475,203482,Kelly Olynyk,2
478,203486,Mason Plumlee,0
480,203488,Mike Muscala,1
488,203497,Rudy Gobert,0
491,203500,Steven Adams,0
501,203512,Lucas Nogueira,2
512,203530,Joffrey Lauvergne,2
515,203543,Vitor Faverani,1
517,203545,Miroslav Raduljica,1
559,203928,Cory Jefferson,1
566,203939,Dwight Powell,2
567,203940,Adreian Payne,2
568,203943,Noah Vonleh,2
578,203954,Joel Embiid,1
580,203956,Mitch McGary,1
589,203991,Clint Capela,0
590,203994,Jusuf Nurkic,0
593,203999,Nikola Jokic,1
594,204001,Kristaps Porzingis,1
601,204028,Tarik Black,2
613,1626143,Jahlil Okafor,1
626,1626157,Karl-Anthony Towns,1
627,1626158,Richaun Holmes,1
634,1626167,Myles Turner,1
638,1626171,Bobby Portis,2
661,1626245,Cristiano Felicio,1
662,1626246,Boban Marjanovic,1
666,1626257,Salah Mejri,1
1,951,Ray Allen,3
3,965,Derek Fisher,3
9,1712,Antawn Jamison,4
12,1718,Paul Pierce,4
13,1733,Al Harrington,4
15,1740,Rashard Lewis,3
19,1890,Shawn Marion,4
20,1891,Jason Terry,3
21,1897,Metta World Peace,5
22,1905,Andrei Kirilenko,4
25,2034,Mike Miller,3
27,2045,Hedo Turkoglu,3
30,2202,Jason Richardson,5
31,2203,Shane Battier,4
33,2210,Richard Jefferson,3
37,2222,Gerald Wallace,5
44,2399,Mike Dunleavy,3
48,2406,Caron Butler,3
50,2419,Tayshaun Prince,4
51,2422,John Salmons,5
52,2427,Roger Mason Jr.,3
55,2446,Rasual Butler,3
70,2566,Travis Outlaw,5
73,2571,Leandro Barbosa,5
75,2584,Willie Green,3
78,2588,Matt Bonner,4
80,2592,James Jones,4
81,2594,Kyle Korver,4
90,2736,Luol Deng,4
91,2738,Andre Iguodala,5
97,2747,JR Smith,5
98,2748,Dorell Wright,4
102,2756,Sasha Vujacic,4
109,101107,Marvin Williams,4
112,101110,Martell Webster,3
113,101111,Charlie Villanueva,4
114,101112,Channing Frye,4
117,101122,Danny Granger,3
121,101128,Francisco Garcia,3
126,101139,CJ Miles,3
138,101187,Alan Anderson,5
141,101249,John Lucas III,5
147,200755,JJ Redick,3
151,200761,Shawne Williams,4
158,200779,Steve Novak,4
165,200839,Michael Harris,5
171,201147,Corey Brewer,3
177,201156,Nick Young,5
178,201158,Marco Belinelli,3
180,201162,Jared Dudley,4
187,201177,Josh McRoberts,4
194,201229,Anthony Tolliver,4
196,201564,O.J. Mayo,5
200,201568,Danilo Gallinari,5
206,201575,Brandon Rush,4
207,201576,Anthony Randolph,4
215,201584,Courtney Lee,3
227,201601,Luc Mbah a Moute,4
228,201603,Sonny Weems,3
229,201604,Chris Douglas-Roberts,3
231,201611,Henry Walker,3
233,201627,Anthony Morrow,3
236,201858,Cartier Martin,3
249,201947,Earl Clark,4
250,201948,Austin Daye,4
257,201956,Omri Casspi,4
258,201957,Byron Mullens,4
261,201961,Wayne Ellington,3
263,201964,Victor Claver,4
265,201967,Dante Cunningham,4
267,201973,Jonas Jerebko,4
268,201975,Jodie Meeks,3
270,201977,Marcus Thornton,5
271,201978,Chase Budinger,3
273,201980,Danny Green,4
275,201986,Nando De Colo,5
278,202066,Garrett Temple,5
280,202083,Wesley Matthews,3
288,202325,Wesley Johnson,4
298,202335,Patrick Patterson,4
300,202337,Luke Babbitt,4
303,202340,Avery Bradley,5
304,202341,James Anderson,3
305,202343,Elliot Williams,3
308,202347,Quincy Pondexter,3
315,202357,Nemanja Bjelica,4
316,202361,Landry Fields,5
330,202498,Lance Thomas,5
342,202691,Klay Thompson,3
349,202698,Chris Singleton,5
353,202703,Nikola Mirotic,4
360,202711,Bojan Bogdanovic,3
362,202713,Kyle Singler,4
388,203082,Terrence Ross,3
390,203084,Harrison Barnes,4
392,203086,Meyers Leonard,4
403,203098,John Jenkins,3
404,203099,Jared Cunningham,3
408,203103,Perry Jones,3
411,203106,Jeff Taylor,3
416,203111,Orlando Johnson,5
417,203112,Quincy Acy,4
418,203113,Quincy Miller,5
419,203114,Khris Middleton,5
422,203117,Doron Lamb,3
423,203118,Mike Scott,4
425,203121,Darius Miller,3
426,203123,Kostas Papanikolaou,4
431,203133,Robbie Hummel,4
434,203138,Hollis Thompson,3
436,203141,Mirza Teletovic,4
437,203142,Chris Copeland,5
447,203187,Chris Johnson,3
448,203197,Diante Garrett,5
449,203200,Justin Holiday,4
452,203268,Jorge Gutierrez,5
458,203459,Allen Crabbe,3
459,203460,Andre Roberson,4
462,203463,Ben McLemore,3
476,203484,Kentavious Caldwell-Pope,5
485,203493,Reggie Bullock,4
489,203498,Shabazz Muhammad,5
492,203501,Tim Hardaway Jr.,3
494,203503,Tony Snell,4
499,203508,Sergey Karasev,3
504,203516,James Ennis,5
511,203527,Ryan Kelly,4
514,203540,Gigi Datome,5
516,203544,Pero Antic,4
518,203546,Ian Clark,5
521,203561,Brandon Davies,4
526,203584,Troy Daniels,3
527,203585,Rodney McGruder,5
528,203613,Jonathon Simmons,5
530,203798,PJ Hairston,3
539,203900,Markel Brown,5
543,203906,Devyn Marble,5
544,203909,KJ McDaniels,5
545,203910,Nick Johnson,5
546,203912,CJ Wilcox,3
547,203913,Jabari Brown,3
548,203914,Gary Harris,3
550,203917,Nik Stauskas,3
552,203919,Jordan Adams,5
553,203921,Cleanthony Early,5
554,203922,Glenn Robinson,5
555,203923,James Young,3
556,203924,Jerami Grant,4
557,203925,Joe Harris,3
558,203926,Doug McDermott,3
560,203930,Sean Kilpatrick,5
562,203933,TJ Warren,5
563,203934,Lamar Patterson,3
571,203946,Cameron Bairstow,4
572,203948,Johnny O'Bryant III,4
573,203949,James Michael McAdoo,4
577,203953,Jabari Parker,5
581,203957,Dante Exum,3
583,203960,JaKarr Sampson,5
587,203967,Dario Saric,4
596,204014,Damjan Rudez,3
606,204060,Joe Ingles,5
617,1626147,Justin Anderson,5
618,1626148,Anthony Brown,3
619,1626149,Montrezl Harrell,5
623,1626154,RJ Hunter,3
624,1626155,Sam Dekker,4
628,1626159,Justise Winslow,5
629,1626161,Willie Cauley-Stein,4
630,1626162,Kelly Oubre,5
631,1626163,Frank Kaminsky,4
635,1626168,Trey Lyles,4
640,1626173,Rashad Vaughn,3
644,1626178,Rondae Hollis-Jefferson,5
648,1626185,Jarell Martin,5
649,1626191,Chris McCullough,4
652,1626196,Josh Richardson,5
656,1626204,Larry Nance Jr.,4
657,1626209,Mario Hezonja,5
659,1626214,Bryce Dejean-Jones,5
664,1626253,Axel Toupane,3
676,1627734,Domantas Sabonis,4
679,1627737,Marquese Chriss,5
683,1627741,Buddy Hield,5
700,1627759,Jaylen Brown,5
703,1627763,Malcolm Brogdon,5
713,1627783,Pascal Siakam,4
2,959,Steve Nash,6
4,977,Kobe Bryant,8
7,1497,Chauncey Billups,9
10,1713,Vince Carter,7
18,1889,Andre Miller,8
23,1938,Manu Ginobili,7
26,2037,Jamal Crawford,9
32,2207,Joe Johnson,8
40,2225,Tony Parker,6
54,2440,Matt Barnes,7
57,2457,Jannero Pargo,9
59,2544,LeBron James,8
60,2546,Carmelo Anthony,8
62,2548,Dwyane Wade,8
64,2550,Kirk Hinrich,7
66,2557,Luke Ridnour,6
74,2581,Steve Blake,7
79,2590,Mo Williams,6
86,2732,Ben Gordon,9
87,2733,Shaun Livingston,8
88,2734,Devin Harris,9
93,2742,Sebastian Telfair,9
99,2749,Jameer Nelson,6
100,2754,Tony Allen,7
101,2755,Kevin Martin,7
103,2757,Beno Udrih,6
106,2772,Trevor Ariza,7
110,101108,Chris Paul,8
111,101109,Raymond Felton,8
115,101114,Deron Williams,9
118,101123,Gerald Green,7
119,101126,Nate Robinson,6
120,101127,Jarrett Jack,8
129,101145,Monta Ellis,8
130,101150,Lou Williams,9
135,101179,Ronnie Price,9
136,101181,Jose Calderon,7
139,101198,Will Bynum,6
145,200751,Randy Foye,7
146,200752,Rudy Gay,8
149,200757,Thabo Sefolosha,7
152,200765,Rajon Rondo,8
153,200768,Kyle Lowry,8
154,200769,Shannon Brown,9
155,200770,Jordan Farmar,6
156,200771,Sergio Rodriguez,6
160,200782,PJ Tucker,7
164,200826,Jose Juan Barea,6
167,201142,Kevin Durant,8
169,201144,Mike Conley,8
170,201145,Jeff Green,7
176,201155,Rodney Stuckey,8
181,201163,Wilson Chandler,7
182,201166,Aaron Brooks,6
183,201167,Arron Afflalo,7
190,201196,Ramon Sessions,9
193,201228,CJ Watson,7
195,201563,Michael Beasley,7
197,201565,Derrick Rose,6
198,201566,Russell Westbrook,8
201,201569,Eric Gordon,7
202,201571,D.J. Augustin,6
204,201573,Jerryd Bayless,7
218,201587,Nicolas Batum,7
219,201588,George Hill,6
224,201596,Mario Chalmers,9
230,201609,Goran Dragic,6
240,201935,James Harden,8
241,201936,Tyreke Evans,8
242,201937,Ricky Rubio,8
243,201939,Stephen Curry,8
245,201942,DeMar DeRozan,8
246,201943,Brandon Jennings,6
247,201945,Gerald Henderson,7
251,201949,James Johnson,7
252,201950,Jrue Holiday,8
253,201951,Ty Lawson,6
254,201952,Jeff Teague,8
255,201953,Eric Maynor,9
256,201954,Darren Collison,6
260,201960,DeMarre Carroll,7
262,201962,Toney Douglas,7
269,201976,Patrick Beverley,7
272,201979,Nick Calathes,6
274,201985,A.J. Price,6
276,201988,Patty Mills,7
281,202087,Alonzo Gee,7
285,202322,John Wall,8
286,202323,Evan Turner,8
293,202330,Gordon Hayward,8
294,202331,Paul George,8
296,202333,Xavier Henry,9
302,202339,Eric Bledsoe,8
309,202348,Jordan Crawford,6
310,202349,Greivis Vasquez,7
317,202362,Lance Stephenson,8
322,202388,Donald Sloan,6
324,202390,Gary Neal,9
325,202391,Jeremy Lin,8
326,202397,Ish Smith,8
328,202407,Elijah Millsap,7
332,202681,Kyrie Irving,8
333,202682,Derrick Williams,7
339,202688,Brandon Knight,8
340,202689,Kemba Walker,8
341,202690,Jimmer Fredette,6
343,202692,Alec Burks,8
345,202694,Marcus Morris,7
346,202695,Kawhi Leonard,7
348,202697,Iman Shumpert,7
354,202704,Reggie Jackson,8
355,202705,MarShon Brooks,6
356,202706,Jordan Hamilton,7
357,202708,Norris Cole,9
358,202709,Cory Joseph,6
359,202710,Jimmy Butler,7
363,202714,Shelvin Mack,6
364,202718,Chandler Parsons,7
367,202721,Darius Morris,9
374,202734,E'Twaun Moore,7
375,202738,Isaiah Thomas,6
376,202779,Dwight Buycks,9
384,203078,Bradley Beal,7
385,203079,Dion Waiters,9
387,203081,Damian Lillard,6
391,203085,Austin Rivers,6
393,203087,Jeremy Lamb,7
394,203088,Kendall Marshall,9
396,203090,Maurice Harkless,7
401,203095,Evan Fournier,7
405,203100,Tony Wroten,9
409,203104,Marquis Teague,6
412,203107,Tomas Satoransky,6
414,203109,Jae Crowder,7
420,203115,Will Barton,7
421,203116,Tyshawn Taylor,9
438,203143,Pablo Prigioni,7
439,203144,Alexey Shved,9
440,203145,Kent Bazemore,7
443,203148,Brian Roberts,8
453,203315,Toure Murry,9
461,203462,Archie Goodwin,8
464,203468,CJ McCollum,6
466,203471,Dennis Schroder,8
469,203475,Erick Green,9
471,203477,Isaiah Canaan,7
477,203485,Lorenzo Brown,8
479,203487,Michael Carter-Williams,8
481,203489,Nate Wolters,6
482,203490,Otto Porter,7
483,203491,Peyton Siva,9
484,203492,Ray McCallum,6
486,203495,Ricky Ledo,6
487,203496,Robert Covington,7
490,203499,Shane Larkin,9
495,203504,Trey Burke,6
497,203506,Victor Oladipo,8
498,203507,Giannis Antetokounmpo,7
503,203515,Phil Pressey,6
508,203521,Matthew Dellavedova,7
509,203524,Solomon Hill,7
510,203526,Raul Neto,6
513,203539,Gal Mekel,9
520,203552,Seth Curry,7
525,203580,Larry Drew,9
535,203894,Shabazz Napier,9
536,203895,Jordan McRae,9
537,203897,Zach LaVine,9
538,203898,Tyler Ennis,9
540,203901,Elfrid Payton,8
541,203902,Semaj Christon,6
542,203903,Jordan Clarkson,6
549,203915,Spencer Dinwiddie,6
551,203918,Rodney Hood,7
561,203932,Aaron Gordon,7
564,203935,Marcus Smart,7
565,203937,Kyle Anderson,7
569,203944,Julius Randle,7
576,203952,Andrew Wiggins,9
597,204020,Tyler Johnson,7
600,204025,Tim Frazier,8
603,204037,Travis Wear,9
604,204038,Langston Galloway,7
611,204098,Xavier Munford,9
612,204456,TJ McConnell,6
614,1626144,Emmanuel Mudiay,9
615,1626145,Tyus Jones,9
620,1626150,Andrew Harrison,6
622,1626153,Delon Wright,8
625,1626156,D'Angelo Russell,9
632,1626164,Devin Booker,9
633,1626166,Cameron Payne,6
636,1626169,Stanley Johnson,7
637,1626170,Jerian Grant,9
645,1626179,Terry Rozier,6
646,1626181,Norman Powell,7
653,1626199,Darrun Hilliard,7
654,1626202,Joe Young,6
669,1626273,Marcelo Huertas,6
671,1627098,Malcolm Delaney,6
681,1627739,Kris Dunn,6
684,1627742,Brandon Ingram,9
692,1627750,Jamal Murray,7
