,player_id,display_name,cluster
0,708,Kevin Garnett,4
1,951,Ray Allen,7
3,965,Derek Fisher,7
4,977,Kobe Bryant,1
5,979,Jermaine O'Neal,6
6,1495,Tim Duncan,2
10,1713,Vince Carter,1
11,1717,Dirk Nowitzki,0
12,1718,Paul Pierce,7
13,1733,Al Harrington,7
14,1737,Nazr Mohammed,6
15,1740,Rashard Lewis,7
16,1882,Elton Brand,6
18,1889,Andre Miller,5
19,1890,Shawn Marion,10
20,1891,Jason Terry,7
21,1897,Metta World Peace,3
22,1905,Andrei Kirilenko,10
23,1938,Manu Ginobili,8
24,2030,Kenyon Martin,6
25,2034,Mike Miller,7
26,2037,Jamal Crawford,8
27,2045,Hedo Turkoglu,7
28,2199,Tyson Chandler,2
29,2200,Pau Gasol,4
31,2203,Shane Battier,7
32,2207,Joe Johnson,8
33,2210,Richard Jefferson,7
35,2216,Zach Randolph,4
37,2222,Gerald Wallace,10
38,2223,Samuel Dalembert,6
40,2225,Tony Parker,5
43,2365,Chris Andersen,4
44,2399,Mike Dunleavy,7
45,2400,Drew Gooden,0
46,2403,Nene,4
47,2405,Amar'e Stoudemire,6
48,2406,Caron Butler,7
50,2419,Tayshaun Prince,7
51,2422,John Salmons,7
53,2430,Carlos Boozer,6
54,2440,Matt Barnes,3
55,2446,Rasual Butler,7
56,2449,Luis Scola,0
58,2501,Reggie Evans,6
59,2544,LeBron James,9
60,2546,Carmelo Anthony,1
61,2547,Chris Bosh,0
62,2548,Dwyane Wade,9
63,2549,Chris Kaman,6
64,2550,Kirk Hinrich,8
65,2555,Nick Collison,0
66,2557,Luke Ridnour,8
67,2561,David West,0
69,2564,Boris Diaw,0
70,2566,Travis Outlaw,7
72,2570,Kendrick Perkins,6
73,2571,Leandro Barbosa,8
74,2581,Steve Blake,8
75,2584,Willie Green,7
76,2585,Zaza Pachulia,2
78,2588,Matt Bonner,7
79,2590,Mo Williams,8
80,2592,James Jones,7
81,2594,Kyle Korver,7
82,2617,Udonis Haslem,0
84,2730,Dwight Howard,2
86,2732,Ben Gordon,8
87,2733,Shaun Livingston,9
88,2734,Devin Harris,8
90,2736,Luol Deng,3
91,2738,Andre Iguodala,8
94,2743,Kris Humphries,0
95,2744,Al Jefferson,4
96,2746,Josh Smith,0
97,2747,JR Smith,8
98,2748,Dorell Wright,7
99,2749,Jameer Nelson,5
100,2754,Tony Allen,3
101,2755,Kevin Martin,8
102,2756,Sasha Vujacic,7
103,2757,Beno Udrih,8
104,2760,Anderson Varejao,2
106,2772,Trevor Ariza,3
108,101106,Andrew Bogut,2
109,101107,Marvin Williams,3
110,101108,Chris Paul,9
111,101109,Raymond Felton,5
112,101110,Martell Webster,7
113,101111,Charlie Villanueva,3
114,101112,Channing Frye,0
115,101114,Deron Williams,5
116,101115,Andrew Bynum,4
117,101122,Danny Granger,7
118,101123,Gerald Green,7
119,101126,Nate Robinson,8
120,101127,Jarrett Jack,5
121,101128,Francisco Garcia,7
122,101131,Jason Maxiell,6
123,101133,Ian Mahinmi,6
124,101135,David Lee,2
125,101138,Brandon Bass,0
126,101139,CJ Miles,3
127,101141,Ersan Ilyasova,0
128,101142,Ronny Turiaf,6
129,101145,Monta Ellis,5
130,101150,Lou Williams,8
131,101154,Andray Blatche,4
133,101161,Amir Johnson,4
134,101162,Marcin Gortat,2
135,101179,Ronnie Price,8
136,101181,Jose Calderon,8
138,101187,Alan Anderson,3
139,101198,Will Bynum,5
140,101236,Charles Hayes,6
141,101249,John Lucas III,8
142,200745,Andrea Bargnani,0
143,200746,LaMarcus Aldridge,4
145,200751,Randy Foye,8
146,200752,Rudy Gay,1
147,200755,JJ Redick,7
149,200757,Thabo Sefolosha,3
151,200761,Shawne Williams,7
152,200765,Rajon Rondo,9
153,200768,Kyle Lowry,5
155,200770,Jordan Farmar,8
157,200777,Joel Freeland,6
158,200779,Steve Novak,7
160,200782,PJ Tucker,3
161,200794,Paul Millsap,0
162,200797,Ryan Hollins,6
163,200811,Lou Amundson,2
164,200826,Jose Juan Barea,5
167,201142,Kevin Durant,1
168,201143,Al Horford,0
169,201144,Mike Conley,5
170,201145,Jeff Green,10
171,201147,Corey Brewer,3
172,201148,Brandan Wright,6
173,201149,Joakim Noah,2
174,201150,Spencer Hawes,0
175,201152,Thaddeus Young,0
176,201155,Rodney Stuckey,1
177,201156,Nick Young,8
178,201158,Marco Belinelli,7
179,201160,Jason Smith,0
180,201162,Jared Dudley,7
