,player_id,display_name,cluster
0,708,Kevin Garnett,4
1,977,Kobe Bryant,6
2,1495,Tim Duncan,2
3,1713,Vince Carter,9
4,1717,Dirk Nowitzki,4
5,1718,Paul Pierce,9
7,1882,Elton Brand,2
8,1889,Andre Miller,6
9,1890,Shawn Marion,7
10,1891,Jason Terry,9
11,1897,Metta World Peace,9
13,1938,Manu Ginobili,5
15,2034,Mike Miller,9
16,2037,Jamal Crawford,8
17,2045,Hedo Turkoglu,9
18,2199,Tyson Chandler,1
19,2200,Pau Gasol,2
21,2207,Joe Johnson,8
22,2210,Richard Jefferson,9
23,2216,Zach Randolph,4
26,2223,Samuel Dalembert,1
27,2225,Tony Parker,6
28,2365,Chris Andersen,1
29,2399,Mike Dunleavy,9
30,2400,Drew Gooden,4
31,2403,Nene,2
32,2405,Amar'e Stoudemire,1
33,2406,Caron Butler,9
34,2419,Tayshaun Prince,8
36,2430,Carlos Boozer,4
37,2440,Matt Barnes,9
38,2446,Rasual Butler,9
39,2449,Luis Scola,2
41,2501,Reggie Evans,1
42,2544,LeBron James,6
43,2546,Carmelo Anthony,6
44,2547,Chris Bosh,4
45,2548,Dwyane Wade,6
46,2549,Chris Kaman,2
47,2550,Kirk Hinrich,5
48,2555,Nick Collison,7
49,2557,Luke Ridnour,5
50,2561,David West,4
52,2564,Boris Diaw,7
53,2570,Kendrick Perkins,2
54,2571,Leandro Barbosa,9
55,2581,Steve Blake,5
56,2584,Willie Green,9
57,2585,Zaza Pachulia,1
58,2588,Matt Bonner,7
59,2590,Mo Williams,5
60,2592,James Jones,9
61,2594,Kyle Korver,9
62,2617,Udonis Haslem,2
63,2730,Dwight Howard,1
64,2732,Ben Gordon,8
65,2733,Shaun Livingston,6
66,2734,Devin Harris,5
67,2736,Luol Deng,7
68,2738,Andre Iguodala,9
70,2743,Kris Humphries,2
71,2744,Al Jefferson,2
72,2746,Josh Smith,2
73,2747,JR Smith,9
74,2748,Dorell Wright,7
75,2749,Jameer Nelson,5
76,2754,Tony Allen,3
77,2755,Kevin Martin,8
78,2756,Sasha Vujacic,9
79,2757,Beno Udrih,5
80,2760,Anderson Varejao,2
81,2772,Trevor Ariza,9
83,101106,Andrew Bogut,1
84,101107,Marvin Williams,7
85,101108,Chris Paul,6
86,101109,Raymond Felton,6
88,101111,Charlie Villanueva,7
89,101112,Channing Frye,7
90,101114,Deron Williams,6
91,101122,Danny Granger,9
92,101123,Gerald Green,8
93,101126,Nate Robinson,6
94,101127,Jarrett Jack,6
96,101131,Jason Maxiell,2
97,101133,Ian Mahinmi,1
98,101135,David Lee,1
99,101138,Brandon Bass,2
100,101139,CJ Miles,9
101,101141,Ersan Ilyasova,7
103,101145,Monta Ellis,6
104,101150,Lou Williams,6
105,101161,Amir Johnson,2
106,101162,Marcin Gortat,1
107,101179,Ronnie Price,5
108,101181,Jose Calderon,5
110,101187,Alan Anderson,9
114,200745,Andrea Bargnani,4
115,200746,LaMarcus Aldridge,4
117,200751,Randy Foye,9
118,200752,Rudy Gay,6
119,200755,JJ Redick,8
120,200757,Thabo Sefolosha,9
121,200761,Shawne Williams,7
122,200765,Rajon Rondo,6
123,200768,Kyle Lowry,6
125,200770,Jordan Farmar,5
127,200777,Joel Freeland,2
129,200782,PJ Tucker,9
130,200794,Paul Millsap,2
131,200797,Ryan Hollins,1
132,200811,Lou Amundson,1
133,200826,Jose Juan Barea,6
134,201142,Kevin Durant,6
135,201143,Al Horford,2
136,201144,Mike Conley,6
137,201145,Jeff Green,8
138,201147,Corey Brewer,9
139,201148,Brandan Wright,1
140,201149,Joakim Noah,2
141,201150,Spencer Hawes,2
142,201152,Thaddeus Young,4
143,201155,Rodney Stuckey,6
