,lineup_ids,lineup_names,points_allowed,points_scored
0,203507 - 203487 - 203114 - 202328 - 203953,"Antetokounmpo,Giannis - Carter-Williams,Michael - Middleton,Khris - Monroe,Greg - Parker,Jabari",29.3,27.7
1,203507 - 202328 - 203948 - 203953 - 1626173,"Antetokounmpo,Giannis - Monroe,Greg - O'Bryant III,Johnny - Parker,Jabari - Vaughn,Rashad",22.0,24.5
2,203507 - 201564 - 203114 - 203953 - 203101,"Antetokounmpo,Giannis - Mayo,O.J. - Middleton,Khris - Parker,Jabari - Plumlee,Miles",24.0,23.8
3,203507 - 201573 - 203114 - 202328 - 203953,"Antetokounmpo,Giannis - Bayless,Jerryd - Middleton,Khris - Monroe,Greg - Parker,Jabari",23.6,23.3
4,203507 - 201573 - 203089 - 203953 - 202349,"Antetokounmpo,Giannis - Bayless,Jerryd - Henson,John - Parker,Jabari - Vasquez,Greivis",25.0,18.0
5,203507 - 203996 - 202328 - 203953 - 1626173,"Antetokounmpo,Giannis - Inglis,Damien - Monroe,Greg - Parker,Jabari - Vaughn,Rashad",22.0,15.0
6,203099 - 203898 - 203089 - 203953 - 203101,"Cunningham,Jared - Ennis,Tyler - Henson,John - Parker,Jabari - Plumlee,Miles",21.0,16.5
7,203898 - 203089 - 203953 - 203101 - 1626173,"Ennis,Tyler - Henson,John - Parker,Jabari - Plumlee,Miles - Vaughn,Rashad",20.0,25.0
8,203507 - 203114 - 202328 - 203953 - 1626173,"Antetokounmpo,Giannis - Middleton,Khris - Monroe,Greg - Parker,Jabari - Vaughn,Rashad",20.3,22.3
9,203507 - 201573 - 202328 - 203953 - 202349,"Antetokounmpo,Giannis - Bayless,Jerryd - Monroe,Greg - Parker,Jabari - Vasquez,Greivis",13.5,18.0
10,201573 - 201564 - 203948 - 203101 - 1626173,"Bayless,Jerryd - Mayo,O.J. - O'Bryant III,Johnny - Plumlee,Miles - Vaughn,Rashad",16.0,25.0
11,203507 - 203898 - 201564 - 203114 - 202328,"Antetokounmpo,Giannis - Ennis,Tyler - Mayo,O.J. - Middleton,Khris - Monroe,Greg",23.0,15.0
12,203507 - 203898 - 203948 - 203953 - 203101,"Antetokounmpo,Giannis - Ennis,Tyler - O'Bryant III,Johnny - Parker,Jabari - Plumlee,Miles",14.0,15.5
13,203507 - 201564 - 203114 - 202328 - 203953,"Antetokounmpo,Giannis - Mayo,O.J. - Middleton,Khris - Monroe,Greg - Parker,Jabari",16.0,18.3
14,203507 - 201564 - 203948 - 203101 - 1626173,"Antetokounmpo,Giannis - Mayo,O.J. - O'Bryant III,Johnny - Plumlee,Miles - Vaughn,Rashad",13.0,17.0
15,203898 - 203089 - 203996 - 203101 - 1626173,"Ennis,Tyler - Henson,John - Inglis,Damien - Plumlee,Miles - Vaughn,Rashad",8.5,20.5
16,203507 - 201573 - 201564 - 203114 - 202328,"Antetokounmpo,Giannis - Bayless,Jerryd - Mayo,O.J. - Middleton,Khris - Monroe,Greg",15.1,13.5
