,FGA_l,FTA_l,MIN_TOT,OREB_l,TOV_l,lineup_ids,lineup_names,points_allowed,points_scored
0,28.0,6.0,17.5,2.0,4.0,101141 - 202688 - 203088 - 203953 - 202336,"Ilyasova,Ersan - Knight,Brandon - Marshall,Kendall - Parker,Jabari - Sanders,Larry",38.0,35.0
1,30.0,5.0,15.9,5.0,4.0,203898 - 203268 - 201564 - 203948 - 203101,"Ennis,Tyler - Gutierrez,Jorge - Mayo,O.J. - O'Bryant,Johnny - Plumlee,Miles",41.0,34.0
2,24.0,2.0,15.0,0.0,2.0,203507 - 201162 - 203268 - 203089 - 203114,"Antetokounmpo,Giannis - Dudley,Jared - Gutierrez,Jorge - Henson,John - Middleton,Khris",20.0,33.0
3,600.0,156.0,343.2,88.8,112.8,203507 - 203487 - 101141 - 203114 - 2585,"Antetokounmpo,Giannis - Carter-Williams,Michael - Ilyasova,Ersan - Middleton,Khris - Pachulia,Zaza",28.5,31.0
4,18.0,8.0,12.0,1.0,1.0,201162 - 203089 - 101141 - 203088 - 203489,"Dudley,Jared - Henson,John - Ilyasova,Ersan - Marshall,Kendall - Wolters,Nate",23.0,25.0
5,39.0,10.0,22.8,8.0,10.0,203507 - 202688 - 203088 - 203948 - 2585,"Antetokounmpo,Giannis - Knight,Brandon - Marshall,Kendall - O'Bryant,Johnny - Pachulia,Zaza",26.0,20.0
6,89.0,18.0,50.5,12.0,17.0,201162 - 202688 - 203114 - 203953 - 202336,"Dudley,Jared - Knight,Brandon - Middleton,Khris - Parker,Jabari - Sanders,Larry",20.6,19.2
7,174.0,35.0,99.0,28.0,34.0,203507 - 202688 - 203114 - 203948 - 2585,"Antetokounmpo,Giannis - Knight,Brandon - Middleton,Khris - O'Bryant,Johnny - Pachulia,Zaza",17.8,18.5
8,88.0,4.0,49.0,13.0,17.0,201162 - 101141 - 202688 - 203953 - 202336,"Dudley,Jared - Ilyasova,Ersan - Knight,Brandon - Parker,Jabari - Sanders,Larry",17.4,18.8
9,37.0,7.0,18.8,6.0,4.0,203507 - 201573 - 203089 - 201564 - 203489,"Antetokounmpo,Giannis - Bayless,Jerryd - Henson,John - Mayo,O.J. - Wolters,Nate",18.0,21.5
10,17.0,0.0,9.3,4.0,5.0,201573 - 201162 - 203089 - 201564 - 203948,"Bayless,Jerryd - Dudley,Jared - Henson,John - Mayo,O.J. - O'Bryant,Johnny",24.0,16.0
11,237.0,64.5,136.5,34.5,48.0,203507 - 202688 - 201564 - 203953 - 202336,"Antetokounmpo,Giannis - Knight,Brandon - Mayo,O.J. - Parker,Jabari - Sanders,Larry",20.5,18.4
12,45.0,3.0,27.3,3.0,6.9,201573 - 201162 - 101141 - 203088 - 203114,"Bayless,Jerryd - Dudley,Jared - Ilyasova,Ersan - Marshall,Kendall - Middleton,Khris",14.7,19.7
13,25.0,8.0,18.0,2.0,8.0,203507 - 101141 - 202688 - 201564 - 203953,"Antetokounmpo,Giannis - Ilyasova,Ersan - Knight,Brandon - Mayo,O.J. - Parker,Jabari",22.0,21.0
14,45.9,11.1,25.8,11.1,6.9,201573 - 201162 - 101141 - 203114 - 2585,"Bayless,Jerryd - Dudley,Jared - Ilyasova,Ersan - Middleton,Khris - Pachulia,Zaza",12.7,18.7
15,13.0,0.0,8.1,2.0,4.0,202688 - 203114 - 203948 - 2585 - 203489,"Knight,Brandon - Middleton,Khris - O'Bryant,Johnny - Pachulia,Zaza - Wolters,Nate",12.0,19.0
16,100.0,19.2,56.8,14.4,20.8,203507 - 101141 - 202688 - 203114 - 2585,"Antetokounmpo,Giannis - Ilyasova,Ersan - Knight,Brandon - Middleton,Khris - Pachulia,Zaza",13.8,14.4
