,FGA_l,FTA_l,OREB_l,TOV_l,lineup_ids,lineup_names,points_allowed,points_scored
0,150.0,34.0,14.0,34.0,203507 - 203521 - 203953 - 203101 - 203503,"Antetokounmpo,Giannis - Dellavedova,Matthew - Parker,Jabari - Plumlee,Miles - Snell,Tony",17.7,18.9
1,142.4,20.8,19.2,18.4,203507 - 203521 - 203089 - 203953 - 203503,"Antetokounmpo,Giannis - Dellavedova,Matthew - Henson,John - Parker,Jabari - Snell,Tony",21.9,18.8
2,28.0,3.0,5.0,3.0,203507 - 203521 - 203089 - 203953 - 1626173,"Antetokounmpo,Giannis - Dellavedova,Matthew - Henson,John - Parker,Jabari - Vaughn,Rashad",13.0,15.0
3,33.9,12.9,6.0,3.9,203507 - 201563 - 1627763 - 202328 - 1891,"Antetokounmpo,Giannis - Beasley,Michael - Brogdon,Malcolm - Monroe,Greg - Terry,Jason",12.6,16.3
4,12.0,2.0,2.0,2.0,203507 - 1627763 - 203953 - 203141 - 1626173,"Antetokounmpo,Giannis - Brogdon,Malcolm - Parker,Jabari - Teletovic,Mirza - Vaughn,Rashad",8.0,19.0
5,10.0,2.0,1.0,2.0,1627763 - 202328 - 203503 - 203141 - 1891,"Brogdon,Malcolm - Monroe,Greg - Snell,Tony - Teletovic,Mirza - Terry,Jason",3.0,10.0
6,9.0,2.0,0.0,0.0,203507 - 201563 - 203521 - 203141 - 1891,"Antetokounmpo,Giannis - Beasley,Michael - Dellavedova,Matthew - Teletovic,Mirza - Terry,Jason",13.0,13.0
7,9.0,1.0,3.0,2.0,201563 - 1627763 - 203089 - 1627748 - 1626173,"Beasley,Michael - Brogdon,Malcolm - Henson,John - Maker,Thon - Vaughn,Rashad",10.0,8.0
8,21.0,4.0,1.0,2.0,203507 - 201563 - 1627763 - 202328 - 1626173,"Antetokounmpo,Giannis - Beasley,Michael - Brogdon,Malcolm - Monroe,Greg - Vaughn,Rashad",11.0,13.0
9,7.0,5.0,0.0,2.0,203507 - 1627763 - 203953 - 203503 - 203141,"Antetokounmpo,Giannis - Brogdon,Malcolm - Parker,Jabari - Snell,Tony - Teletovic,Mirza",15.0,12.0
10,19.0,7.0,1.0,2.0,203507 - 203521 - 202328 - 203953 - 203141,"Antetokounmpo,Giannis - Dellavedova,Matthew - Monroe,Greg - Parker,Jabari - Teletovic,Mirza",9.0,11.5
11,8.0,5.0,0.0,0.0,201563 - 1627763 - 202328 - 203953 - 1626173,"Beasley,Michael - Brogdon,Malcolm - Monroe,Greg - Parker,Jabari - Vaughn,Rashad",9.0,10.0
12,8.0,2.0,1.0,3.0,203507 - 201563 - 1627763 - 203089 - 1626173,"Antetokounmpo,Giannis - Beasley,Michael - Brogdon,Malcolm - Henson,John - Vaughn,Rashad",9.0,12.0
13,6.0,2.0,0.0,3.0,203507 - 203521 - 203953 - 203101 - 203141,"Antetokounmpo,Giannis - Dellavedova,Matthew - Parker,Jabari - Plumlee,Miles - Teletovic,Mirza",13.0,7.0
14,8.0,0.0,2.0,1.0,203507 - 203521 - 203101 - 203503 - 203141,"Antetokounmpo,Giannis - Dellavedova,Matthew - Plumlee,Miles - Snell,Tony - Teletovic,Mirza",8.0,11.0
15,10.0,2.0,3.0,1.0,203507 - 203521 - 203089 - 203503 - 1626173,"Antetokounmpo,Giannis - Dellavedova,Matthew - Henson,John - Snell,Tony - Vaughn,Rashad",8.0,6.0
16,18.0,3.9,0.0,8.1,203521 - 203089 - 203953 - 203503 - 203141,"Dellavedova,Matthew - Henson,John - Parker,Jabari - Snell,Tony - Teletovic,Mirza",9.7,7.7
