,cluster_dist,def_comp,inertia,k_val,off_comp,s_score
0,"[0.63, 0.37]",2,1.71575006667,2,2,0.586460395133
1,"[0.4, 0.24, 0.23, 0.14]",2,0.498795616295,4,2,0.548938232485
2,"[0.27, 0.26, 0.19, 0.15, 0.13]",2,0.358924929141,5,2,0.502244562997
3,"[0.29, 0.18, 0.18, 0.17, 0.11, 0.07]",2,0.258564240677,6,2,0.504923563036
4,"[0.23, 0.18, 0.16, 0.15, 0.11, 0.1, 0.06]",2,0.187426560471,7,2,0.507321477106
5,"[0.2, 0.18, 0.15, 0.12, 0.11, 0.11, 0.1, 0.04]",2,0.148712558741,8,2,0.509233208213
6,"[0.19, 0.19, 0.13, 0.12, 0.11, 0.1, 0.09, 0.04, 0.03]",2,0.120640593766,9,2,0.511677777571
7,"[0.18, 0.18, 0.13, 0.11, 0.11, 0.08, 0.08, 0.04, 0.04, 0.04]",2,0.102762506703,10,2,0.499208621305
8,"[0.17, 0.14, 0.12, 0.11, 0.1, 0.09, 0.09, 0.08, 0.04, 0.04, 0.02]",2,0.0869839656328,11,2,0.486448912883
9,"[0.16, 0.14, 0.12, 0.1, 0.1, 0.1, 0.08, 0.08, 0.05, 0.04, 0.03, 0.01]",2,0.0745368813958,12,2,0.487118619126
10,"[0.14, 0.14, 0.11, 0.11, 0.09, 0.09, 0.09, 0.07, 0.07, 0.04, 0.03, 0.03, 0.01]",2,0.0627315038635,13,2,0.494000748572
11,"[0.13, 0.12, 0.12, 0.09, 0.08, 0.08, 0.08, 0.07, 0.07, 0.06, 0.04, 0.03, 0.03, 0.01]",2,0.0568491928712,14,2,0.468124542137
12,"[0.14, 0.13, 0.09, 0.09, 0.08, 0.08, 0.08, 0.07, 0.06, 0.06, 0.04, 0.04, 0.03, 0.02, 0.01]",2,0.0492646091887,15,2,0.487453521975
13,"[0.67, 0.33]",3,2.53946268949,2,2,0.49698831662
14,"[0.29, 0.29, 0.21, 0.2]",3,1.20627163806,4,2,0.418969800105
15,"[0.26, 0.22, 0.2, 0.19, 0.12]",3,0.923494051578,5,2,0.428697167936
16,"[0.25, 0.19, 0.17, 0.14, 0.14, 0.12]",3,0.734754416079,6,2,0.410731430973
17,"[0.2, 0.17, 0.15, 0.14, 0.14, 0.11, 0.09]",3,0.614214277195,7,2,0.408624077719
18,"[0.19, 0.19, 0.14, 0.12, 0.11, 0.1, 0.09, 0.06]",3,0.526458356193,8,2,0.405453017133
19,"[0.17, 0.16, 0.12, 0.11, 0.1, 0.1, 0.09, 0.09, 0.06]",3,0.456224773981,9,2,0.402856717849
20,"[0.17, 0.16, 0.12, 0.11, 0.11, 0.1, 0.09, 0.06, 0.05, 0.04]",3,0.413490022646,10,2,0.406890940013
21,"[0.14, 0.13, 0.12, 0.12, 0.1, 0.09, 0.08, 0.08, 0.06, 0.06, 0.04]",3,0.366389878002,11,2,0.401004221213
22,"[0.13, 0.12, 0.12, 0.1, 0.09, 0.09, 0.09, 0.08, 0.06, 0.06, 0.05, 0.03]",3,0.33798272787,12,2,0.406191478847
23,"[0.16, 0.14, 0.1, 0.09, 0.09, 0.08, 0.07, 0.07, 0.06, 0.04, 0.04, 0.04, 0.03]",3,0.314597559509,13,2,0.406181845197
24,"[0.14, 0.13, 0.1, 0.1, 0.09, 0.09, 0.09, 0.06, 0.05, 0.05, 0.04, 0.03, 0.03, 0.02]",3,0.295382573186,14,2,0.396066088277
25,"[0.13, 0.1, 0.09, 0.09, 0.09, 0.09, 0.08, 0.06, 0.06, 0.05, 0.05, 0.04, 0.03, 0.03, 0.02]",3,0.270897390927,15,2,0.407181721285
26,"[0.69, 0.31]",4,2.56449688534,2,2,0.494520734011
27,"[0.31, 0.3, 0.19, 0.19]",4,1.28334018648,4,2,0.399886706168
28,"[0.31, 0.2, 0.19, 0.19, 0.11]",4,1.00200545991,5,2,0.405004268522
29,"[0.3, 0.19, 0.15, 0.14, 0.13, 0.1]",4,0.819937861032,6,2,0.394511268552
30,"[0.19, 0.17, 0.16, 0.14, 0.14, 0.11, 0.09]",4,0.693797954967,7,2,0.366014930969
31,"[0.2, 0.18, 0.14, 0.12, 0.11, 0.11, 0.09, 0.06]",4,0.609544389039,8,2,0.366873257729
32,"[0.16, 0.15, 0.12, 0.11, 0.11, 0.11, 0.1, 0.09, 0.06]",4,0.563283830236,9,2,0.333897588777
33,"[0.18, 0.15, 0.12, 0.11, 0.1, 0.1, 0.09, 0.06, 0.06, 0.04]",4,0.492848454168,10,2,0.356117516478
34,"[0.18, 0.13, 0.11, 0.1, 0.1, 0.1, 0.09, 0.06, 0.06, 0.04, 0.03]",4,0.462752576544,11,2,0.347086690205
35,"[0.14, 0.12, 0.12, 0.11, 0.1, 0.09, 0.07, 0.06, 0.06, 0.05, 0.05, 0.04]",4,0.424995817894,12,2,0.342615248425
36,"[0.14, 0.12, 0.1, 0.1, 0.09, 0.09, 0.09, 0.07, 0.06, 0.06, 0.04, 0.03, 0.03]",4,0.402082296968,13,2,0.344299605846
37,"[0.11, 0.1, 0.09, 0.09, 0.09, 0.08, 0.07, 0.07, 0.07, 0.06, 0.05, 0.05, 0.04, 0.03]",4,0.379629630699,14,2,0.314554789231
38,"[0.12, 0.1, 0.09, 0.09, 0.09, 0.09, 0.07, 0.07, 0.05, 0.05, 0.04, 0.04, 0.04, 0.03, 0.03]",4,0.363373589491,15,2,0.323936963294
39,"[0.66, 0.34]",5,2.71970579273,2,2,0.465988068721
40,"[0.31, 0.3, 0.2, 0.18]",5,1.52101286276,4,2,0.352461720584
41,"[0.3, 0.21, 0.2, 0.18, 0.11]",5,1.24596135585,5,2,0.351800206586
42,"[0.3, 0.21, 0.15, 0.13, 0.13, 0.09]",5,1.05866658785,6,2,0.330998905262
43,"[0.18, 0.17, 0.17, 0.15, 0.13, 0.12, 0.09]",5,0.942318949669,7,2,0.303564216103
44,"[0.19, 0.17, 0.17, 0.15, 0.11, 0.09, 0.08, 0.04]",5,0.836826409156,8,2,0.313693411008
45,"[0.19, 0.18, 0.15, 0.11, 0.11, 0.09, 0.08, 0.06, 0.04]",5,0.764214068206,9,2,0.31048572337
46,"[0.17, 0.16, 0.15, 0.11, 0.1, 0.09, 0.08, 0.06, 0.04, 0.04]",5,0.714389086448,10,2,0.29266936334
47,"[0.18, 0.15, 0.13, 0.1, 0.1, 0.1, 0.09, 0.06, 0.04, 0.04, 0.04]",5,0.653992028335,11,2,0.293841500596
48,"[0.14, 0.12, 0.12, 0.1, 0.1, 0.09, 0.08, 0.07, 0.06, 0.05, 0.05, 0.04]",5,0.620485931288,12,2,0.279197358562
49,"[0.12, 0.11, 0.1, 0.1, 0.09, 0.09, 0.08, 0.07, 0.07, 0.06, 0.05, 0.04, 0.03]",5,0.594565556868,13,2,0.275223658644
50,"[0.16, 0.12, 0.1, 0.09, 0.09, 0.08, 0.07, 0.06, 0.06, 0.06, 0.04, 0.03, 0.03, 0.03]",5,0.575192098769,14,2,0.261747395412
51,"[0.12, 0.1, 0.1, 0.09, 0.08, 0.08, 0.07, 0.07, 0.06, 0.06, 0.05, 0.04, 0.04, 0.03, 0.03]",5,0.53678301925,15,2,0.262848720519
52,"[0.66, 0.34]",6,3.11312889949,2,2,0.439297866063
53,"[0.32, 0.3, 0.2, 0.18]",6,1.91322462656,4,2,0.310041380537
54,"[0.34, 0.27, 0.17, 0.11, 0.11]",6,1.61247226591,5,2,0.289974220582
55,"[0.25, 0.2, 0.18, 0.16, 0.11, 0.1]",6,1.41110931345,6,2,0.278708992204
56,"[0.2, 0.17, 0.17, 0.16, 0.11, 0.11, 0.09]",6,1.28892016798,7,2,0.261381537209
57,"[0.19, 0.18, 0.16, 0.11, 0.1, 0.09, 0.09, 0.08]",6,1.19213718253,8,2,0.258118509606
58,"[0.22, 0.18, 0.13, 0.11, 0.1, 0.09, 0.09, 0.06, 0.04]",6,1.10617694795,9,2,0.262168556649
59,"[0.2, 0.17, 0.16, 0.11, 0.08, 0.07, 0.06, 0.06, 0.06, 0.04]",6,1.02218058148,10,2,0.267291916844
60,"[0.22, 0.17, 0.12, 0.11, 0.07, 0.07, 0.06, 0.06, 0.06, 0.04, 0.04]",6,0.972318328011,11,2,0.263203319941
61,"[0.18, 0.15, 0.12, 0.09, 0.09, 0.07, 0.07, 0.06, 0.06, 0.04, 0.04, 0.04]",6,0.923045423275,12,2,0.240110442766
62,"[0.17, 0.14, 0.09, 0.08, 0.08, 0.08, 0.07, 0.07, 0.06, 0.05, 0.04, 0.04, 0.03]",6,0.882308977892,13,2,0.234557609287
63,"[0.18, 0.15, 0.11, 0.09, 0.08, 0.07, 0.06, 0.05, 0.05, 0.04, 0.04, 0.04, 0.03, 0.02]",6,0.84880667941,14,2,0.240675284428
64,"[0.12, 0.12, 0.11, 0.1, 0.08, 0.07, 0.06, 0.06, 0.06, 0.04, 0.04, 0.04, 0.04, 0.03, 0.03]",6,0.816047219872,15,2,0.217832737703
65,"[0.67, 0.33]",7,3.89468308727,2,2,0.414822995909
66,"[0.35, 0.31, 0.2, 0.13]",7,2.70261654307,4,2,0.255290389922
67,"[0.37, 0.23, 0.18, 0.12, 0.11]",7,2.36553982677,5,2,0.242778947378
68,"[0.35, 0.23, 0.13, 0.13, 0.11, 0.05]",7,2.13492730003,6,2,0.240270448211
69,"[0.29, 0.21, 0.15, 0.14, 0.1, 0.08, 0.04]",7,1.94114948995,7,2,0.240686693442
70,"[0.24, 0.2, 0.2, 0.11, 0.1, 0.08, 0.05, 0.03]",7,1.82730925648,8,2,0.230435793968
71,"[0.2, 0.19, 0.13, 0.11, 0.08, 0.08, 0.08, 0.08, 0.04]",7,1.70426917636,9,2,0.207632882662
72,"[0.21, 0.18, 0.14, 0.11, 0.09, 0.08, 0.06, 0.05, 0.04, 0.03]",7,1.60139500879,10,2,0.215618163739
73,"[0.19, 0.18, 0.16, 0.09, 0.07, 0.07, 0.06, 0.06, 0.05, 0.04, 0.04]",7,1.51131028742,11,2,0.227498203351
74,"[0.19, 0.17, 0.16, 0.1, 0.08, 0.07, 0.06, 0.04, 0.04, 0.04, 0.03, 0.02]",7,1.47323603579,12,2,0.223304164044
75,"[0.19, 0.15, 0.12, 0.09, 0.08, 0.08, 0.06, 0.04, 0.04, 0.04, 0.04, 0.04, 0.03]",7,1.4232422499,13,2,0.201781504592
76,"[0.15, 0.13, 0.12, 0.09, 0.08, 0.07, 0.07, 0.06, 0.06, 0.05, 0.04, 0.04, 0.03, 0.02]",7,1.36397064133,14,2,0.191915717894
77,"[0.15, 0.14, 0.13, 0.1, 0.09, 0.07, 0.06, 0.05, 0.05, 0.04, 0.04, 0.03, 0.03, 0.02, 0.01]",7,1.30637890628,15,2,0.20468603662
78,"[0.67, 0.33]",8,3.6418528429,2,2,0.418268570751
79,"[0.34, 0.32, 0.2, 0.14]",8,2.46429919572,4,2,0.260717723892
80,"[0.35, 0.26, 0.17, 0.12, 0.11]",8,2.13491809119,5,2,0.249641855003
81,"[0.26, 0.2, 0.17, 0.16, 0.11, 0.11]",8,1.94548026353,6,2,0.230500204691
82,"[0.25, 0.2, 0.18, 0.15, 0.1, 0.08, 0.04]",8,1.77778103575,7,2,0.234947005527
83,"[0.2, 0.17, 0.17, 0.15, 0.1, 0.09, 0.08, 0.04]",8,1.65621948761,8,2,0.211255940351
84,"[0.18, 0.17, 0.16, 0.11, 0.09, 0.09, 0.09, 0.08, 0.03]",8,1.55410076234,9,2,0.21130833
85,"[0.18, 0.16, 0.13, 0.1, 0.09, 0.09, 0.09, 0.08, 0.06, 0.03]",8,1.49908686028,10,2,0.190085808719
86,"[0.18, 0.15, 0.12, 0.09, 0.09, 0.09, 0.09, 0.08, 0.06, 0.04, 0.03]",8,1.44553559883,11,2,0.185447090065
87,"[0.22, 0.17, 0.13, 0.1, 0.07, 0.06, 0.06, 0.06, 0.05, 0.04, 0.04, 0.01]",8,1.37217812944,12,2,0.212484439433
88,"[0.17, 0.16, 0.12, 0.09, 0.09, 0.07, 0.07, 0.06, 0.05, 0.05, 0.04, 0.04, 0.01]",8,1.33141693308,13,2,0.189875422835
89,"[0.16, 0.13, 0.1, 0.09, 0.08, 0.08, 0.07, 0.07, 0.05, 0.05, 0.04, 0.04, 0.04, 0.02]",8,1.28081611917,14,2,0.178846456698
90,"[0.13, 0.13, 0.11, 0.09, 0.09, 0.08, 0.06, 0.05, 0.05, 0.05, 0.04, 0.04, 0.04, 0.03, 0.03]",8,1.23524981467,15,2,0.193529856447
91,"[0.69, 0.31]",9,3.54856782654,2,2,0.422287199224
92,"[0.3, 0.3, 0.21, 0.19]",9,2.33426296733,4,2,0.278607854674
93,"[0.35, 0.26, 0.17, 0.12, 0.11]",9,2.04810694732,5,2,0.250219234298
94,"[0.27, 0.2, 0.16, 0.16, 0.11, 0.11]",9,1.82321710517,6,2,0.24484292355
95,"[0.29, 0.2, 0.15, 0.14, 0.1, 0.08, 0.04]",9,1.68971075916,7,2,0.254132403728
96,"[0.2, 0.18, 0.16, 0.15, 0.12, 0.09, 0.07, 0.04]",9,1.57577642991,8,2,0.214536864835
97,"[0.2, 0.17, 0.16, 0.1, 0.09, 0.09, 0.08, 0.06, 0.05]",9,1.49845836963,9,2,0.211143405785
98,"[0.18, 0.17, 0.16, 0.12, 0.09, 0.07, 0.06, 0.06, 0.05, 0.04]",9,1.44434537736,10,2,0.209969271288
99,"[0.18, 0.17, 0.17, 0.1, 0.09, 0.09, 0.06, 0.06, 0.04, 0.03, 0.01]",9,1.37256085039,11,2,0.214456537712
100,"[0.2, 0.13, 0.11, 0.1, 0.08, 0.08, 0.08, 0.07, 0.05, 0.04, 0.04, 0.03]",9,1.30688011851,12,2,0.203636363911
101,"[0.17, 0.16, 0.12, 0.09, 0.09, 0.08, 0.06, 0.05, 0.05, 0.05, 0.04, 0.03, 0.02]",9,1.26761002305,13,2,0.193642257332
102,"[0.15, 0.15, 0.13, 0.09, 0.08, 0.06, 0.06, 0.06, 0.06, 0.05, 0.04, 0.04, 0.03, 0.02]",9,1.2252883085,14,2,0.190222111539
103,"[0.15, 0.15, 0.11, 0.09, 0.07, 0.06, 0.06, 0.06, 0.05, 0.04, 0.04, 0.04, 0.04, 0.03, 0.02]",9,1.19365703518,15,2,0.191709691211
104,"[0.69, 0.31]",10,3.62391258278,2,2,0.419355130907
105,"[0.3, 0.29, 0.21, 0.19]",10,2.42316032334,4,2,0.270608407731
106,"[0.35, 0.25, 0.18, 0.12, 0.1]",10,2.12842785946,5,2,0.243786626188
107,"[0.26, 0.2, 0.17, 0.16, 0.12, 0.1]",10,1.91179717052,6,2,0.234964267931
108,"[0.29, 0.2, 0.16, 0.14, 0.1, 0.07, 0.04]",10,1.78165964092,7,2,0.245980141493
109,"[0.19, 0.19, 0.16, 0.15, 0.11, 0.09, 0.07, 0.04]",10,1.66389340587,8,2,0.209677166481
110,"[0.21, 0.18, 0.13, 0.11, 0.11, 0.09, 0.07, 0.07, 0.03]",10,1.55844555566,9,2,0.212843432001
111,"[0.2, 0.17, 0.15, 0.1, 0.09, 0.09, 0.07, 0.06, 0.05, 0.03]",10,1.48810677611,10,2,0.211652040303
112,"[0.18, 0.16, 0.13, 0.09, 0.09, 0.09, 0.06, 0.06, 0.06, 0.06, 0.03]",10,1.4444220095,11,2,0.180994755705
113,"[0.16, 0.15, 0.13, 0.11, 0.1, 0.09, 0.07, 0.06, 0.06, 0.05, 0.03, 0.01]",10,1.39398584297,12,2,0.180131088883
114,"[0.17, 0.15, 0.13, 0.09, 0.09, 0.07, 0.07, 0.05, 0.05, 0.04, 0.04, 0.04, 0.03]",10,1.30692565555,13,2,0.196732192362
115,"[0.17, 0.15, 0.13, 0.09, 0.08, 0.07, 0.06, 0.06, 0.05, 0.05, 0.04, 0.02, 0.02, 0.01]",10,1.26989520616,14,2,0.200683603997
116,"[0.12, 0.11, 0.09, 0.09, 0.09, 0.09, 0.08, 0.07, 0.05, 0.05, 0.05, 0.04, 0.03, 0.03, 0.01]",10,1.24146168234,15,2,0.179333753665
117,"[0.67, 0.33]",2,2.539462689,2,3,0.496988316644
118,"[0.29, 0.29, 0.21, 0.2]",2,1.20627163785,4,3,0.418969800102
119,"[0.26, 0.22, 0.2, 0.19, 0.12]",2,0.923494051417,5,3,0.428697167938
