player_id,age,display_name,dleague_flag,first_name,height,last_name,position,roster_status,season_exp,team_id,team_name,weight,attempt_RA,attempt_corner_3,attempt_mid,attempt_non_corner_3,attempt_paint,made_RA,made_corner_3,made_mid,made_non_corner_3,made_paint,ast,blk,blk_a,dreb,fta,ftm,gp,min_game,oreb,pf,pfd,reb,stl,tov,d_fga_mid,d_fga_overall,d_fga_paint,d_fga_perim,d_fga_threes,d_fgm_mid,d_fgm_overall,d_fgm_paint,d_fgm_perim,d_fgm_threes,d_freq_mid,d_freq_paint,d_freq_perim,d_freq_threes,dreb_pos,oreb_pos,pos
708,14797,Kevin Garnett,N,Kevin,83,Garnett,Forward,Active,21,1610612750,Timberwolves,240,48,2,199,5,52,26,0,96,1,20,1.6,0.4,0.1,5.6,1.0,0.8,47.0,20.3,1.0,2.3,1.3,6.6,1.0,1.0,1.25,5.89,2.77,1.87,0.79,0.52,2.81,1.74,0.55,0.23,0.213,0.469,0.318,0.134,0.142,0.026,1750.86
977,13971,Kobe Bryant,N,Kobe,78,Bryant,Forward-Guard,Active,19,1610612747,Lakers,212,120,20,311,164,98,62,10,115,44,35,5.6,0.2,0.8,4.9,6.9,5.6,35.0,34.5,0.7,1.9,5.1,5.7,1.3,3.7,1.18,8.86,1.97,5.71,4.14,0.57,4.17,1.26,2.34,1.63,0.132,0.223,0.645,0.468,0.07,0.011,2423.256
1495,14821,Tim Duncan,N,Tim,83,Duncan,Center-Forward,Active,19,1610612759,Spurs,250,330,2,241,5,241,225,2,94,0,98,3.0,2.0,0.9,6.9,4.0,3.0,77.0,28.9,2.2,2.1,3.1,9.1,0.8,1.7,3.06,12.95,6.51,3.38,0.83,1.19,5.71,3.3,1.22,0.27,0.236,0.503,0.261,0.064,0.12,0.038,4193.636
1713,14545,Vince Carter,N,Vince,78,Carter,Guard-Forward,Active,18,1610612763,Grizzlies,220,60,34,86,198,28,27,13,29,56,10,1.2,0.2,0.2,1.6,0.9,0.7,66.0,16.5,0.4,1.5,1.1,2.0,0.7,0.7,0.68,4.78,1.05,3.05,2.19,0.38,2.03,0.48,1.17,0.86,0.144,0.219,0.637,0.458,0.049,0.012,2012.092
1717,14036,Dirk Nowitzki,N,Dirk,84,Nowitzki,Forward,Active,18,1610612742,Mavericks,245,86,11,601,263,101,55,4,282,100,46,1.9,0.4,0.3,5.4,3.8,3.3,77.0,29.6,0.6,2.1,3.9,5.9,0.5,1.1,2.21,11.35,4.32,4.82,2.57,0.78,5.62,2.81,2.03,1.1,0.195,0.381,0.424,0.227,0.09,0.01,4338.504
1718,14285,Paul Pierce,N,Paul,79,Pierce,Forward,Active,18,1610612746,Clippers,235,141,59,170,244,42,85,25,72,93,18,2.0,0.3,0.4,3.4,2.9,2.2,73.0,26.2,0.6,2.2,2.3,4.0,0.6,1.3,1.49,8.89,2.04,5.36,3.38,0.55,3.63,1.16,1.92,1.15,0.168,0.23,0.602,0.381,0.064,0.012,3811.208
1737,14323,Nazr Mohammed,N,Nazr,82,Mohammed,Center,Active,18,1610612760,Thunder,250,15,0,10,0,5,10,0,2,0,1,0.1,0.2,0.1,1.2,0.1,0.0,23.0,5.6,0.5,0.7,0.1,1.7,0.2,0.3,1.12,3.29,1.41,0.76,0.24,0.29,1.35,0.82,0.24,0.06,0.339,0.429,0.232,0.071,0.107,0.044,246.856
1882,13771,Elton Brand,N,Elton,81,Brand,Forward,Active,17,1610612755,76ers,254,18,1,59,0,17,12,0,21,0,9,0.6,0.7,0.1,2.0,0.6,0.3,36.0,13.5,0.8,1.5,1.0,2.8,0.5,0.5,1.47,5.35,2.76,1.12,0.41,0.62,2.35,1.32,0.41,0.09,0.275,0.516,0.209,0.077,0.075,0.029,871.132
1889,14858,Andre Miller,N,Andre,75,Miller,Guard,Active,17,1610612759,Spurs,200,122,5,69,29,65,74,1,32,6,32,3.5,0.1,0.4,1.4,1.0,0.7,81.0,15.5,0.5,1.3,1.1,1.9,0.4,1.3,0.67,5.38,0.92,3.79,2.42,0.21,2.13,0.6,1.32,0.86,0.124,0.171,0.705,0.449,0.047,0.015,2217.32
1890,14079,Shawn Marion,N,Shawn,79,Marion,Guard-Forward,Active,15,1610612739,Cavaliers,228,117,36,23,11,80,66,10,4,2,37,0.9,0.5,0.4,2.4,0.6,0.5,57.0,19.3,1.1,1.0,0.5,3.5,0.5,0.6,1.07,5.98,1.49,3.42,2.18,0.39,2.31,0.85,1.07,0.65,0.18,0.249,0.571,0.365,0.063,0.029,1991.048
