,player_id,display_name,cluster
0,708,Kevin Garnett,0
5,979,Jermaine O'Neal,0
6,1495,Tim Duncan,1
11,1717,Dirk Nowitzki,2
14,1737,Nazr Mohammed,1
16,1882,Elton Brand,1
24,2030,Kenyon Martin,0
28,2199,Tyson Chandler,2
29,2200,Pau Gasol,0
35,2216,Zach Randolph,2
38,2223,Samuel Dalembert,0
43,2365,Chris Andersen,0
45,2400,Drew Gooden,2
46,2403,Nene,1
47,2405,Amar'e Stoudemire,1
53,2430,Carlos Boozer,2
56,2449,Luis Scola,2
58,2501,Reggie Evans,1
61,2547,Chris Bosh,2
63,2549,Chris Kaman,1
65,2555,Nick Collison,1
67,2561,David West,2
69,2564,Boris Diaw,2
72,2570,Kendrick Perkins,1
76,2585,Zaza Pachulia,2
82,2617,Udonis Haslem,1
84,2730,Dwight Howard,2
94,2743,Kris Humphries,1
95,2744,Al Jefferson,2
96,2746,Josh Smith,2
104,2760,Anderson Varejao,2
108,101106,Andrew Bogut,2
116,101115,Andrew Bynum,1
122,101131,Jason Maxiell,2
123,101133,Ian Mahinmi,1
124,101135,David Lee,2
125,101138,Brandon Bass,2
127,101141,Ersan Ilyasova,1
128,101142,Ronny Turiaf,0
131,101154,Andray Blatche,1
133,101161,Amir Johnson,2
134,101162,Marcin Gortat,2
137,101183,Shavlik Randolph,1
140,101236,Charles Hayes,1
142,200745,Andrea Bargnani,1
143,200746,LaMarcus Aldridge,1
157,200777,Joel Freeland,0
161,200794,Paul Millsap,0
162,200797,Ryan Hollins,1
163,200811,Lou Amundson,2
166,201141,Greg Oden,0
168,201143,Al Horford,1
172,201148,Brandan Wright,0
173,201149,Joakim Noah,2
174,201150,Spencer Hawes,2
175,201152,Thaddeus Young,2
179,201160,Jason Smith,1
184,201168,Tiago Splitter,1
185,201171,Carl Landry,2
186,201175,Glen Davis,0
188,201188,Marc Gasol,1
189,201189,Aaron Gray,0
191,201202,Joel Anthony,0
199,201567,Kevin Love,1
203,201572,Brook Lopez,1
205,201574,Jason Thompson,2
208,201577,Robin Lopez,1
209,201578,Marreese Speights,2
210,201579,Roy Hibbert,1
211,201580,JaVale McGee,0
212,201581,JJ Hickson,2
213,201582,Alexis Ajinca,2
214,201583,Ryan Anderson,0
216,201585,Kosta Koufos,1
217,201586,Serge Ibaka,1
220,201589,Darrell Arthur,1
222,201593,Nikola Pekovic,1
223,201595,Joey Dorsey,2
225,201599,DeAndre Jordan,2
226,201600,Omer Asik,2
237,201880,Greg Stiemsma,0
238,201933,Blake Griffin,2
244,201941,Jordan Hill,2
248,201946,Tyler Hansbrough,1
259,201959,Taj Gibson,2
264,201965,Jeff Ayres,0
266,201971,DeJuan Blair,1
287,202324,Derrick Favors,1
289,202326,DeMarcus Cousins,2
290,202327,Ekpe Udoh,0
291,202328,Greg Monroe,2
292,202329,Al-Farouq Aminu,2
295,202332,Cole Aldrich,2
297,202334,Ed Davis,2
299,202336,Larry Sanders,1
301,202338,Kevin Seraphin,1
306,202344,Trevor Booker,2
311,202350,Daniel Orton,0
314,202355,Hassan Whiteside,2
318,202363,Jarvis Varnado,0
319,202366,Jerome Jordan,0
320,202379,Jeremy Evans,2
323,202389,Timofey Mozgov,2
327,202399,Jeff Adrien,2
334,202683,Enes Kanter,2
335,202684,Tristan Thompson,2
336,202685,Jonas Valanciunas,2
337,202686,Jan Vesely,0
338,202687,Bismack Biyombo,0
344,202693,Markieff Morris,1
347,202696,Nikola Vucevic,2
350,202699,Tobias Harris,2
